model	subset	n_val	n_test	n_full	gt_in_prompt	correct_step@1_val	correct_step@1_test	correct_step@1_full	correct_agent@1_val	correct_agent@1_test	correct_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
gpt-4o	magentic	18.0	46.0	91.0	1.0	0.1277777777777778	0.11304347826086958	0.1098901098901099	0.6055555555555554	0.6315217391304347	0.6153846153846153	0.11304347826086958	0.6315217391304347	0.1098901098901099	0.6153846153846153
gpt-4o	captain	17.0	43.0	85.0	1.0	0.1	0.1069767441860465	0.10588235294117647	0.664705882352941	0.663953488372093	0.6588235294117646	0.1069767441860465	0.663953488372093	0.10588235294117647	0.6588235294117646
gpt-5	magentic	18.0	46.0	91.0	1.0	0.16944444444444443	0.17826086956521742	0.18681318681318687	0.6583333333333332	0.6641304347826088	0.6593406593406592	0.17826086956521742	0.6641304347826088	0.18681318681318687	0.6593406593406592
gpt-5	captain	17.0	43.0	85.0	1.0	0.22058823529411767	0.2651162790697674	0.24705882352941178	0.5647058823529412	0.6081395348837207	0.588235294117647	0.2651162790697674	0.6081395348837207	0.24705882352941178	0.588235294117647
