model	subset	method	status	rows	expected	no_pred	fmt_fail
qwen3.5-9b	hand-crafted	oat.s42	DONE	58	58	0	0
qwen3.5-9b	hand-crafted	oat.s43	DONE	58	58	0	0
qwen3.5-9b	hand-crafted	oat.s44	DONE	58	58	0	0
qwen3.5-9b	hand-crafted	oat.s45	DONE	58	58	0	0
qwen3.5-9b	hand-crafted	oat.s46	DONE	58	58	0	0
qwen3.5-9b	algorithm-generated	oat.s42	DONE	126	126	0	0
qwen3.5-9b	algorithm-generated	oat.s43	DONE	126	126	0	0
qwen3.5-9b	algorithm-generated	oat.s44	DONE	126	126	0	0
qwen3.5-9b	algorithm-generated	oat.s45	DONE	126	126	0	0
qwen3.5-9b	algorithm-generated	oat.s46	DONE	126	126	0	0
deepseek-8b	hand-crafted	oat.s42	DONE	58	58	0	0
deepseek-8b	hand-crafted	oat.s43	DONE	58	58	0	0
deepseek-8b	hand-crafted	oat.s44	DONE	58	58	0	0
deepseek-8b	hand-crafted	oat.s45	DONE	58	58	0	0
deepseek-8b	hand-crafted	oat.s46	DONE	58	58	0	0
deepseek-8b	algorithm-generated	oat.s42	DONE	126	126	0	0
deepseek-8b	algorithm-generated	oat.s43	DONE	126	126	0	0
deepseek-8b	algorithm-generated	oat.s44	DONE	126	126	0	0
deepseek-8b	algorithm-generated	oat.s45	DONE	126	126	0	0
deepseek-8b	algorithm-generated	oat.s46	DONE	126	126	0	0
qwen3.5-4b	hand-crafted	oat.s42	DONE	58	58	0	0
qwen3.5-4b	hand-crafted	oat.s43	DONE	58	58	0	0
qwen3.5-4b	hand-crafted	oat.s44	DONE	58	58	0	0
qwen3.5-4b	hand-crafted	oat.s45	DONE	58	58	0	0
qwen3.5-4b	hand-crafted	oat.s46	DONE	58	58	0	0
qwen3.5-4b	algorithm-generated	oat.s42	DONE	126	126	0	0
qwen3.5-4b	algorithm-generated	oat.s43	DONE	126	126	0	0
qwen3.5-4b	algorithm-generated	oat.s44	DONE	126	126	0	0
qwen3.5-4b	algorithm-generated	oat.s45	DONE	126	126	0	0
qwen3.5-4b	algorithm-generated	oat.s46	DONE	126	126	0	0
qwen3-14b	hand-crafted	oat.s42	DONE	58	58	0	0
qwen3-14b	hand-crafted	oat.s43	DONE	58	58	0	0
qwen3-14b	hand-crafted	oat.s44	DONE	58	58	0	0
qwen3-14b	hand-crafted	oat.s45	DONE	58	58	0	0
qwen3-14b	hand-crafted	oat.s46	DONE	58	58	0	0
qwen3-14b	algorithm-generated	oat.s42	DONE	126	126	0	0
qwen3-14b	algorithm-generated	oat.s43	DONE	126	126	0	0
qwen3-14b	algorithm-generated	oat.s44	DONE	126	126	0	0
qwen3-14b	algorithm-generated	oat.s45	DONE	126	126	0	0
qwen3-14b	algorithm-generated	oat.s46	DONE	126	126	0	0
qwen3.5-27b	hand-crafted	oat.s42	DONE	58	58	0	0
qwen3.5-27b	hand-crafted	oat.s43	DONE	58	58	0	0
qwen3.5-27b	hand-crafted	oat.s44	DONE	58	58	0	0
qwen3.5-27b	hand-crafted	oat.s45	DONE	58	58	0	0
qwen3.5-27b	hand-crafted	oat.s46	DONE	58	58	0	0
qwen3.5-27b	algorithm-generated	oat.s42	DONE	126	126	0	0
qwen3.5-27b	algorithm-generated	oat.s43	DONE	126	126	0	0
qwen3.5-27b	algorithm-generated	oat.s44	DONE	126	126	0	0
qwen3.5-27b	algorithm-generated	oat.s45	DONE	126	126	0	0
qwen3.5-27b	algorithm-generated	oat.s46	DONE	126	126	0	0
