subset	model	method	topk_detection_precision	topk_detection_recall	topk_detection_f1	topk_detection_hit_rate	conformal_detection_precision	conformal_detection_recall	conformal_detection_f1	conformal_detection_hit_rate	auroc	auprc	n
algorithm-generated	qwen3.5-9b	oat.s42	0.1931	0.5794	0.2897	0.5794	0.1852	0.2540	0.2077	0.2540	0.5312	0.1741	126
hand-crafted	qwen3.5-9b	oat.s42	0.0747	0.2241	0.1121	0.2241	0.0430	0.2931	0.0727	0.2931	0.5855	0.0472	58
