seed	n_val	n_test	n_full	gt_in_prompt	errorprobe_step@1_val	errorprobe_step@1_test	errorprobe_step@1_full	errorprobe_agent@1_val	errorprobe_agent@1_test	errorprobe_agent@1_full	errorprobe_bt_step@1_val	errorprobe_bt_step@1_test	errorprobe_bt_step@1_full	errorprobe_bt_agent@1_val	errorprobe_bt_agent@1_test	errorprobe_bt_agent@1_full	errorprobe_paper_step@1_val	errorprobe_paper_step@1_test	errorprobe_paper_step@1_full	errorprobe_paper_agent@1_val	errorprobe_paper_agent@1_test	errorprobe_paper_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	147	367	733	False													0.4897959183673469	0.5122615803814714	0.5006821282401092	0.7006802721088435	0.7029972752043597	0.7121418826739427	0.5122615803814714	0.7029972752043597	0.5006821282401092	0.7121418826739427
2	147	367	733	False													0.5034013605442177	0.47956403269754766	0.5006821282401092	0.7210884353741497	0.6811989100817438	0.7121418826739427	0.47956403269754766	0.6811989100817438	0.5006821282401092	0.7121418826739427
3	147	367	733	False													0.5578231292517006	0.47956403269754766	0.5006821282401092	0.7687074829931972	0.6920980926430518	0.7121418826739427	0.47956403269754766	0.6920980926430518	0.5006821282401092	0.7121418826739427
