seed	n_val	n_test	n_full	gt_in_prompt	stepfinder-pca-tsel.s42_step@1_val	stepfinder-pca-tsel.s42_step@1_test	stepfinder-pca-tsel.s42_step@1_full	stepfinder-pca-tsel.s42_agent@1_val	stepfinder-pca-tsel.s42_agent@1_test	stepfinder-pca-tsel.s42_agent@1_full	stepfinder-pca-tsel.s43_step@1_val	stepfinder-pca-tsel.s43_step@1_test	stepfinder-pca-tsel.s43_step@1_full	stepfinder-pca-tsel.s43_agent@1_val	stepfinder-pca-tsel.s43_agent@1_test	stepfinder-pca-tsel.s43_agent@1_full	stepfinder-pca-tsel.s44_step@1_val	stepfinder-pca-tsel.s44_step@1_test	stepfinder-pca-tsel.s44_step@1_full	stepfinder-pca-tsel.s44_agent@1_val	stepfinder-pca-tsel.s44_agent@1_test	stepfinder-pca-tsel.s44_agent@1_full	stepfinder-pca-tsel.s45_step@1_val	stepfinder-pca-tsel.s45_step@1_test	stepfinder-pca-tsel.s45_step@1_full	stepfinder-pca-tsel.s45_agent@1_val	stepfinder-pca-tsel.s45_agent@1_test	stepfinder-pca-tsel.s45_agent@1_full	stepfinder-pca-tsel.s46_step@1_val	stepfinder-pca-tsel.s46_step@1_test	stepfinder-pca-tsel.s46_step@1_full	stepfinder-pca-tsel.s46_agent@1_val	stepfinder-pca-tsel.s46_agent@1_test	stepfinder-pca-tsel.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	18	46	91	False	0.16666666666666666	0.021739130434782608	0.054945054945054944	0.6111111111111112	0.6739130434782609	0.6373626373626373	0.16666666666666666	0.043478260869565216	0.054945054945054944	0.6111111111111112	0.6739130434782609	0.6703296703296703	0.0	0.0	0.0	0.5	0.391304347826087	0.4065934065934066	0.16666666666666666	0.021739130434782608	0.06593406593406594	0.6111111111111112	0.6521739130434783	0.6483516483516484	0.16666666666666666	0.10869565217391304	0.08791208791208792	0.7222222222222222	0.782608695652174	0.7362637362637363	0.10869565217391304	0.782608695652174	0.08791208791208792	0.7362637362637363
2	18	46	91	False	0.05555555555555555	0.043478260869565216	0.054945054945054944	0.5555555555555556	0.6521739130434783	0.6373626373626373	0.05555555555555555	0.043478260869565216	0.054945054945054944	0.7222222222222222	0.6739130434782609	0.6703296703296703	0.0	0.0	0.0	0.5555555555555556	0.3695652173913043	0.4065934065934066	0.05555555555555555	0.08695652173913043	0.06593406593406594	0.6111111111111112	0.717391304347826	0.6483516483516484	0.05555555555555555	0.06521739130434782	0.08791208791208792	0.7222222222222222	0.8043478260869565	0.7362637362637363	0.08695652173913043	0.8043478260869565	0.08791208791208792	0.7362637362637363
3	18	46	91	False	0.0	0.06521739130434782	0.054945054945054944	0.5	0.6739130434782609	0.6373626373626373	0.05555555555555555	0.06521739130434782	0.054945054945054944	0.7777777777777778	0.6086956521739131	0.6703296703296703	0.0	0.0	0.0	0.4444444444444444	0.391304347826087	0.4065934065934066	0.05555555555555555	0.08695652173913043	0.06593406593406594	0.5555555555555556	0.6739130434782609	0.6483516483516484	0.1111111111111111	0.06521739130434782	0.08791208791208792	0.7222222222222222	0.717391304347826	0.7362637362637363	0.08695652173913043	0.717391304347826	0.08791208791208792	0.7362637362637363
4	18	46	91	False	0.05555555555555555	0.06521739130434782	0.054945054945054944	0.7222222222222222	0.6086956521739131	0.6373626373626373	0.0	0.08695652173913043	0.054945054945054944	0.5555555555555556	0.6956521739130435	0.6703296703296703	0.0	0.0	0.0	0.3888888888888889	0.34782608695652173	0.4065934065934066	0.0	0.10869565217391304	0.06593406593406594	0.6666666666666666	0.6739130434782609	0.6483516483516484	0.1111111111111111	0.10869565217391304	0.08791208791208792	0.8333333333333334	0.6956521739130435	0.7362637362637363	0.10869565217391304	0.6956521739130435	0.08791208791208792	0.7362637362637363
5	18	46	91	False	0.2222222222222222	0.0	0.054945054945054944	0.5555555555555556	0.6956521739130435	0.6373626373626373	0.1111111111111111	0.021739130434782608	0.054945054945054944	0.6111111111111112	0.717391304347826	0.6703296703296703	0.0	0.0	0.0	0.3888888888888889	0.41304347826086957	0.4065934065934066	0.16666666666666666	0.0	0.06593406593406594	0.6111111111111112	0.717391304347826	0.6483516483516484	0.16666666666666666	0.043478260869565216	0.08791208791208792	0.6111111111111112	0.8043478260869565	0.7362637362637363	0.043478260869565216	0.8043478260869565	0.08791208791208792	0.7362637362637363
6	18	46	91	False	0.1111111111111111	0.043478260869565216	0.054945054945054944	0.7777777777777778	0.6304347826086957	0.6373626373626373	0.05555555555555555	0.043478260869565216	0.054945054945054944	0.6111111111111112	0.6739130434782609	0.6703296703296703	0.0	0.0	0.0	0.3888888888888889	0.3695652173913043	0.4065934065934066	0.05555555555555555	0.043478260869565216	0.06593406593406594	0.6666666666666666	0.6739130434782609	0.6483516483516484	0.1111111111111111	0.06521739130434782	0.08791208791208792	0.8333333333333334	0.6956521739130435	0.7362637362637363	0.06521739130434782	0.6956521739130435	0.08791208791208792	0.7362637362637363
7	18	46	91	False	0.05555555555555555	0.08695652173913043	0.054945054945054944	0.5	0.6304347826086957	0.6373626373626373	0.05555555555555555	0.08695652173913043	0.054945054945054944	0.5	0.6956521739130435	0.6703296703296703	0.0	0.0	0.0	0.4444444444444444	0.41304347826086957	0.4065934065934066	0.05555555555555555	0.10869565217391304	0.06593406593406594	0.5	0.6739130434782609	0.6483516483516484	0.1111111111111111	0.06521739130434782	0.08791208791208792	0.6111111111111112	0.7608695652173914	0.7362637362637363	0.10869565217391304	0.7608695652173914	0.08791208791208792	0.7362637362637363
8	18	46	91	False	0.05555555555555555	0.08695652173913043	0.054945054945054944	0.7777777777777778	0.6304347826086957	0.6373626373626373	0.05555555555555555	0.06521739130434782	0.054945054945054944	0.5	0.6739130434782609	0.6703296703296703	0.0	0.0	0.0	0.5555555555555556	0.3695652173913043	0.4065934065934066	0.05555555555555555	0.08695652173913043	0.06593406593406594	0.5555555555555556	0.6521739130434783	0.6483516483516484	0.0	0.13043478260869565	0.08791208791208792	0.6666666666666666	0.8043478260869565	0.7362637362637363	0.13043478260869565	0.8043478260869565	0.08791208791208792	0.7362637362637363
9	18	46	91	False	0.05555555555555555	0.08695652173913043	0.054945054945054944	0.7777777777777778	0.6304347826086957	0.6373626373626373	0.05555555555555555	0.021739130434782608	0.054945054945054944	0.8333333333333334	0.6086956521739131	0.6703296703296703	0.0	0.0	0.0	0.3333333333333333	0.43478260869565216	0.4065934065934066	0.1111111111111111	0.06521739130434782	0.06593406593406594	0.7777777777777778	0.6304347826086957	0.6483516483516484	0.1111111111111111	0.08695652173913043	0.08791208791208792	0.8888888888888888	0.7608695652173914	0.7362637362637363	0.08695652173913043	0.7608695652173914	0.08791208791208792	0.7362637362637363
10	18	46	91	False	0.05555555555555555	0.06521739130434782	0.054945054945054944	0.6111111111111112	0.6086956521739131	0.6373626373626373	0.05555555555555555	0.06521739130434782	0.054945054945054944	0.8333333333333334	0.6304347826086957	0.6703296703296703	0.0	0.0	0.0	0.3333333333333333	0.41304347826086957	0.4065934065934066	0.16666666666666666	0.06521739130434782	0.06593406593406594	0.7222222222222222	0.6086956521739131	0.6483516483516484	0.05555555555555555	0.10869565217391304	0.08791208791208792	0.9444444444444444	0.6956521739130435	0.7362637362637363	0.10869565217391304	0.6956521739130435	0.08791208791208792	0.7362637362637363
