seed	method	n_val	n_test	step@1_val	step@1_test	agent@1_val	agent@1_test
1	stepfinder.e1	12.0	29.0	0.0	0.1724137931034483	0.6666666666666666	0.4827586206896552
2	stepfinder.e2	12.0	29.0	0.0	0.3103448275862069	0.3333333333333333	0.6206896551724138
3	stepfinder.e3	12.0	29.0	0.0833333333333333	0.1034482758620689	0.4166666666666667	0.4137931034482758
4	stepfinder.e4	12.0	29.0	0.0833333333333333	0.1724137931034483	0.4166666666666667	0.5172413793103449
5	stepfinder.e5	12.0	29.0	0.3333333333333333	0.1379310344827586	0.5	0.4137931034482758
6	stepfinder.e6	12.0	29.0	0.3333333333333333	0.2068965517241379	0.5	0.6206896551724138
7	stepfinder.e7	12.0	29.0	0.0	0.1034482758620689	0.3333333333333333	0.6551724137931034
8	stepfinder.e8	12.0	29.0	0.0833333333333333	0.1379310344827586	0.5	0.4482758620689655
9	stepfinder.e9	12.0	29.0	0.1666666666666666	0.1724137931034483	0.3333333333333333	0.5172413793103449
10	stepfinder.e10	12.0	29.0	0.0833333333333333	0.1379310344827586	0.6666666666666666	0.5172413793103449
11	stepfinder.e11	12.0	29.0	0.0833333333333333	0.0344827586206896	0.1666666666666666	0.4827586206896552
12	stepfinder.e12	12.0	29.0	0.1666666666666666	0.0344827586206896	0.3333333333333333	0.4137931034482758
13	stepfinder.e13	12.0	29.0	0.0833333333333333	0.0689655172413793	0.5	0.4827586206896552
14	stepfinder.e14	12.0	29.0	0.0833333333333333	0.2068965517241379	0.3333333333333333	0.5172413793103449
15	stepfinder.e15	12.0	29.0	0.0833333333333333	0.1034482758620689	0.4166666666666667	0.5172413793103449
16	stepfinder.e16	12.0	29.0	0.25	0.0689655172413793	0.5833333333333334	0.4827586206896552
17	stepfinder.e17	12.0	29.0	0.0	0.3103448275862069	0.5	0.5517241379310345
18	stepfinder.e18	12.0	29.0	0.1666666666666666	0.2758620689655172	0.5833333333333334	0.5172413793103449
19	stepfinder.e19	12.0	29.0	0.0	0.1724137931034483	0.0833333333333333	0.6206896551724138
20	stepfinder.e20	12.0	29.0	0.25	0.0689655172413793	0.3333333333333333	0.3448275862068966
mean	diagonal	12.0	29.0	0.11666666666666665	0.15	0.4250000000000001	0.506896551724138
