model	subset	method	status	rows	expected	no_pred	fmt_fail
qwen3.5-9b	arc	all_at_once	DONE	304	304	0	0
qwen3.5-9b	arc	step_by_step	DONE	304	304	191	0
qwen3.5-9b	arc	binary_search	DONE	304	304	0	0
qwen3.5-9b	gaia	all_at_once	DONE	50	50	0	0
qwen3.5-9b	gaia	step_by_step	DONE	50	50	19	0
qwen3.5-9b	gaia	binary_search	DONE	50	50	0	0
qwen3.5-9b	hotpot	all_at_once	DONE	578	578	0	0
qwen3.5-9b	hotpot	step_by_step	DONE	578	578	167	0
qwen3.5-9b	hotpot	binary_search	DONE	578	578	0	0
qwen3.5-9b	math500	all_at_once	DONE	157	157	0	0
qwen3.5-9b	math500	step_by_step	DONE	157	157	103	0
qwen3.5-9b	math500	binary_search	DONE	157	157	0	0
qwen3.5-9b	mmlu_pro	all_at_once	DONE	92	92	0	0
qwen3.5-9b	mmlu_pro	step_by_step	DONE	92	92	59	0
qwen3.5-9b	mmlu_pro	binary_search	DONE	92	92	0	0
qwen3.5-9b	musique	all_at_once	DONE	312	312	0	0
qwen3.5-9b	musique	step_by_step	DONE	312	312	74	0
qwen3.5-9b	musique	binary_search	DONE	312	312	0	0
qwen3.5-9b	wikimqa	all_at_once	DONE	733	733	0	0
qwen3.5-9b	wikimqa	step_by_step	DONE	733	733	243	0
qwen3.5-9b	wikimqa	binary_search	DONE	733	733	0	0
deepseek-8b	arc	all_at_once	DONE	304	304	0	49
deepseek-8b	arc	step_by_step	DONE	304	304	22	0
deepseek-8b	arc	binary_search	DONE	304	304	0	0
deepseek-8b	gaia	all_at_once	DONE	50	50	0	6
deepseek-8b	gaia	step_by_step	DONE	50	50	3	0
deepseek-8b	gaia	binary_search	DONE	50	50	0	0
deepseek-8b	hotpot	all_at_once	DONE	578	578	0	56
deepseek-8b	hotpot	step_by_step	DONE	578	578	24	0
deepseek-8b	hotpot	binary_search	DONE	578	578	0	0
deepseek-8b	math500	all_at_once	DONE	157	157	0	29
deepseek-8b	math500	step_by_step	DONE	157	157	12	0
deepseek-8b	math500	binary_search	DONE	157	157	0	0
deepseek-8b	mmlu_pro	all_at_once	DONE	92	92	0	20
deepseek-8b	mmlu_pro	step_by_step	DONE	92	92	4	0
deepseek-8b	mmlu_pro	binary_search	DONE	92	92	0	0
deepseek-8b	musique	all_at_once	DONE	312	312	0	32
deepseek-8b	musique	step_by_step	DONE	312	312	6	0
deepseek-8b	musique	binary_search	DONE	312	312	0	0
deepseek-8b	wikimqa	all_at_once	DONE	733	733	0	80
deepseek-8b	wikimqa	step_by_step	DONE	733	733	11	0
deepseek-8b	wikimqa	binary_search	DONE	733	733	0	0
gpt-4o	arc	all_at_once	DONE	304	304	0	0
gpt-4o	arc	step_by_step	DONE	304	304	41	0
gpt-4o	arc	binary_search	DONE	304	304	0	0
gpt-4o	gaia	all_at_once	DONE	50	50	0	0
gpt-4o	gaia	step_by_step	DONE	50	50	9	0
gpt-4o	gaia	binary_search	DONE	50	50	0	0
gpt-4o	hotpot	all_at_once	DONE	578	578	0	0
gpt-4o	hotpot	step_by_step	DONE	578	578	92	0
gpt-4o	hotpot	binary_search	DONE	578	578	0	0
gpt-4o	math500	all_at_once	DONE	157	157	0	0
gpt-4o	math500	step_by_step	DONE	157	157	53	0
gpt-4o	math500	binary_search	DONE	157	157	0	0
gpt-4o	mmlu_pro	all_at_once	DONE	92	92	0	0
gpt-4o	mmlu_pro	step_by_step	DONE	92	92	16	0
gpt-4o	mmlu_pro	binary_search	DONE	92	92	0	0
gpt-4o	musique	all_at_once	DONE	312	312	0	0
gpt-4o	musique	step_by_step	DONE	312	312	54	0
gpt-4o	musique	binary_search	DONE	312	312	0	0
gpt-4o	wikimqa	all_at_once	DONE	733	733	0	0
gpt-4o	wikimqa	step_by_step	DONE	733	733	139	0
gpt-4o	wikimqa	binary_search	DONE	733	733	0	0
gpt-5	arc	all_at_once	DONE	304	304	0	0
gpt-5	arc	step_by_step	DONE	304	304	7	0
gpt-5	arc	binary_search	DONE	304	304	0	0
gpt-5	gaia	all_at_once	DONE	50	50	0	0
gpt-5	gaia	step_by_step	DONE	50	50	1	0
gpt-5	gaia	binary_search	DONE	50	50	0	0
gpt-5	hotpot	all_at_once	DONE	578	578	0	2
gpt-5	hotpot	step_by_step	DONE	578	578	16	0
gpt-5	hotpot	binary_search	DONE	578	578	0	0
gpt-5	math500	all_at_once	DONE	157	157	0	1
gpt-5	math500	step_by_step	DONE	157	157	0	0
gpt-5	math500	binary_search	DONE	157	157	0	0
gpt-5	mmlu_pro	all_at_once	DONE	92	92	0	0
gpt-5	mmlu_pro	step_by_step	DONE	92	92	2	0
gpt-5	mmlu_pro	binary_search	DONE	92	92	0	0
gpt-5	musique	all_at_once	DONE	312	312	0	3
gpt-5	musique	step_by_step	DONE	312	312	7	0
gpt-5	musique	binary_search	DONE	312	312	0	0
gpt-5	wikimqa	all_at_once	DONE	733	733	0	2
gpt-5	wikimqa	step_by_step	DONE	733	733	34	0
gpt-5	wikimqa	binary_search	DONE	733	733	0	0
