model	subset	method	status	rows	expected	no_pred	fmt_fail
gpt-4o	algorithm-generated	raffles	DONE	126	126	0	8
gpt-4o	hand-crafted	raffles	DONE	58	58	0	3
gpt-5	algorithm-generated	raffles	DONE	126	126	0	0
gpt-5	hand-crafted	raffles	DONE	58	58	0	0
