model	subset	n_val	n_test	n_full	gt_in_prompt	raffles_step@1_val	raffles_step@1_test	raffles_step@1_full	raffles_agent@1_val	raffles_agent@1_test	raffles_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
gpt-4o	magentic	18.0	46.0	91.0	0.0	0.175	0.16847826086956522	0.1758241758241758	0.5805555555555555	0.6152173913043477	0.6043956043956042	0.16847826086956522	0.6152173913043477	0.1758241758241758	0.6043956043956042
gpt-4o	captain	17.0	43.0	85.0	0.0	0.2323529411764705	0.2569767441860465	0.25882352941176473	0.6323529411764706	0.6383720930232557	0.6352941176470587	0.2569767441860465	0.6383720930232557	0.25882352941176473	0.6352941176470587
gpt-5	magentic	18.0	46.0	91.0	0.0	0.32222222222222224	0.3	0.30769230769230765	0.6972222222222222	0.717391304347826	0.7032967032967032	0.3	0.717391304347826	0.30769230769230765	0.7032967032967032
gpt-5	captain	17.0	43.0	85.0	0.0	0.35882352941176465	0.34302325581395354	0.3529411764705882	0.6764705882352942	0.6767441860465114	0.6705882352941175	0.34302325581395354	0.6767441860465114	0.3529411764705882	0.6705882352941175
