model	subset	n_val	n_test	n_full	gt_in_prompt	raffles_step@1_val	raffles_step@1_test	raffles_step@1_full	raffles_agent@1_val	raffles_agent@1_test	raffles_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
gpt-4o	arc	61.0	152.0	304.0	1.0	0.8306010928961749	0.8442982456140351	0.8486842105263158	0.8907103825136612	0.8969298245614036	0.8914473684210527	0.8442982456140351	0.8969298245614036	0.8486842105263158	0.8914473684210527
gpt-4o	gaia	10.0	25.0	50.0	1.0	0.5	0.4666666666666666	0.48	0.7333333333333334	0.6000000000000001	0.66	0.4666666666666666	0.6000000000000001	0.48	0.66
gpt-4o	hotpot	116.0	289.0	578.0	1.0	0.5057471264367815	0.48788927335640137	0.49653979238754326	0.8074712643678161	0.7704728950403691	0.7802768166089965	0.48788927335640137	0.7704728950403691	0.49653979238754326	0.7802768166089965
gpt-4o	math500	32.0	79.0	157.0	1.0	0.6458333333333334	0.6160337552742615	0.5796178343949044	0.6666666666666666	0.6962025316455697	0.6560509554140127	0.6160337552742615	0.6962025316455697	0.5796178343949044	0.6560509554140127
gpt-4o	mmlu_pro	19.0	46.0	92.0	1.0	0.8421052631578947	0.8405797101449276	0.8152173913043478	0.8245614035087719	0.8840579710144927	0.8586956521739131	0.8405797101449276	0.8840579710144927	0.8152173913043478	0.8586956521739131
gpt-4o	musique	63.0	156.0	312.0	1.0	0.4656084656084656	0.452991452991453	0.44871794871794873	0.7777777777777778	0.7564102564102564	0.7564102564102564	0.452991452991453	0.7564102564102564	0.44871794871794873	0.7564102564102564
gpt-4o	wikimqa	147.0	367.0	733.0	1.0	0.48979591836734687	0.46503178928247046	0.47203274215552526	0.7755102040816327	0.7366030881017257	0.7462482946793997	0.46503178928247046	0.7366030881017257	0.47203274215552526	0.7462482946793997
