seed	n_val	n_test	n_full	gt_in_prompt	stepfinder-pca.s42_step@1_val	stepfinder-pca.s42_step@1_test	stepfinder-pca.s42_step@1_full	stepfinder-pca.s42_agent@1_val	stepfinder-pca.s42_agent@1_test	stepfinder-pca.s42_agent@1_full	stepfinder-pca.s43_step@1_val	stepfinder-pca.s43_step@1_test	stepfinder-pca.s43_step@1_full	stepfinder-pca.s43_agent@1_val	stepfinder-pca.s43_agent@1_test	stepfinder-pca.s43_agent@1_full	stepfinder-pca.s44_step@1_val	stepfinder-pca.s44_step@1_test	stepfinder-pca.s44_step@1_full	stepfinder-pca.s44_agent@1_val	stepfinder-pca.s44_agent@1_test	stepfinder-pca.s44_agent@1_full	stepfinder-pca.s45_step@1_val	stepfinder-pca.s45_step@1_test	stepfinder-pca.s45_step@1_full	stepfinder-pca.s45_agent@1_val	stepfinder-pca.s45_agent@1_test	stepfinder-pca.s45_agent@1_full	stepfinder-pca.s46_step@1_val	stepfinder-pca.s46_step@1_test	stepfinder-pca.s46_step@1_full	stepfinder-pca.s46_agent@1_val	stepfinder-pca.s46_agent@1_test	stepfinder-pca.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	18	46	91	False	0.16666666666666666	0.043478260869565216	0.06593406593406594	0.5555555555555556	0.5869565217391305	0.5824175824175825	0.05555555555555555	0.043478260869565216	0.054945054945054944	0.7222222222222222	0.6086956521739131	0.6483516483516484	0.05555555555555555	0.043478260869565216	0.03296703296703297	0.5555555555555556	0.5434782608695652	0.5604395604395604	0.1111111111111111	0.0	0.04395604395604396	0.6666666666666666	0.5869565217391305	0.6043956043956044	0.05555555555555555	0.021739130434782608	0.03296703296703297	0.5555555555555556	0.5869565217391305	0.5604395604395604	0.043478260869565216	0.6086956521739131	0.06593406593406594	0.6483516483516484
2	18	46	91	False	0.05555555555555555	0.043478260869565216	0.06593406593406594	0.5	0.6304347826086957	0.5824175824175825	0.1111111111111111	0.021739130434782608	0.054945054945054944	0.6111111111111112	0.6521739130434783	0.6483516483516484	0.0	0.021739130434782608	0.03296703296703297	0.5	0.5434782608695652	0.5604395604395604	0.05555555555555555	0.043478260869565216	0.04395604395604396	0.5555555555555556	0.6304347826086957	0.6043956043956044	0.0	0.043478260869565216	0.03296703296703297	0.4444444444444444	0.6086956521739131	0.5604395604395604	0.043478260869565216	0.6521739130434783	0.06593406593406594	0.6483516483516484
3	18	46	91	False	0.0	0.08695652173913043	0.06593406593406594	0.2777777777777778	0.6521739130434783	0.5824175824175825	0.05555555555555555	0.06521739130434782	0.054945054945054944	0.6111111111111112	0.6304347826086957	0.6483516483516484	0.05555555555555555	0.021739130434782608	0.03296703296703297	0.3888888888888889	0.5869565217391305	0.5604395604395604	0.0	0.043478260869565216	0.04395604395604396	0.5555555555555556	0.5434782608695652	0.6043956043956044	0.05555555555555555	0.0	0.03296703296703297	0.4444444444444444	0.5217391304347826	0.5604395604395604	0.08695652173913043	0.6521739130434783	0.06593406593406594	0.6483516483516484
4	18	46	91	False	0.05555555555555555	0.06521739130434782	0.06593406593406594	0.6111111111111112	0.5434782608695652	0.5824175824175825	0.1111111111111111	0.043478260869565216	0.054945054945054944	0.6666666666666666	0.6304347826086957	0.6483516483516484	0.05555555555555555	0.021739130434782608	0.03296703296703297	0.5555555555555556	0.5652173913043478	0.5604395604395604	0.05555555555555555	0.06521739130434782	0.04395604395604396	0.6666666666666666	0.5869565217391305	0.6043956043956044	0.05555555555555555	0.043478260869565216	0.03296703296703297	0.6111111111111112	0.5652173913043478	0.5604395604395604	0.06521739130434782	0.6304347826086957	0.06593406593406594	0.6483516483516484
5	18	46	91	False	0.2222222222222222	0.021739130434782608	0.06593406593406594	0.5	0.6304347826086957	0.5824175824175825	0.1111111111111111	0.043478260869565216	0.054945054945054944	0.6111111111111112	0.6956521739130435	0.6483516483516484	0.05555555555555555	0.021739130434782608	0.03296703296703297	0.4444444444444444	0.5652173913043478	0.5604395604395604	0.1111111111111111	0.0	0.04395604395604396	0.5	0.6521739130434783	0.6043956043956044	0.05555555555555555	0.0	0.03296703296703297	0.4444444444444444	0.6304347826086957	0.5604395604395604	0.043478260869565216	0.6956521739130435	0.06593406593406594	0.6483516483516484
6	18	46	91	False	0.1111111111111111	0.043478260869565216	0.06593406593406594	0.6666666666666666	0.6086956521739131	0.5824175824175825	0.1111111111111111	0.043478260869565216	0.054945054945054944	0.5	0.6956521739130435	0.6483516483516484	0.05555555555555555	0.021739130434782608	0.03296703296703297	0.5	0.5652173913043478	0.5604395604395604	0.1111111111111111	0.021739130434782608	0.04395604395604396	0.5555555555555556	0.6086956521739131	0.6043956043956044	0.05555555555555555	0.043478260869565216	0.03296703296703297	0.6111111111111112	0.5652173913043478	0.5604395604395604	0.043478260869565216	0.6956521739130435	0.06593406593406594	0.6483516483516484
7	18	46	91	False	0.05555555555555555	0.08695652173913043	0.06593406593406594	0.4444444444444444	0.5652173913043478	0.5824175824175825	0.05555555555555555	0.08695652173913043	0.054945054945054944	0.6666666666666666	0.6521739130434783	0.6483516483516484	0.0	0.021739130434782608	0.03296703296703297	0.5	0.5652173913043478	0.5604395604395604	0.0	0.08695652173913043	0.04395604395604396	0.5555555555555556	0.5869565217391305	0.6043956043956044	0.0	0.043478260869565216	0.03296703296703297	0.4444444444444444	0.5217391304347826	0.5604395604395604	0.08695652173913043	0.6521739130434783	0.06593406593406594	0.6483516483516484
8	18	46	91	False	0.05555555555555555	0.10869565217391304	0.06593406593406594	0.5	0.6304347826086957	0.5824175824175825	0.0	0.06521739130434782	0.054945054945054944	0.5555555555555556	0.6521739130434783	0.6483516483516484	0.0	0.043478260869565216	0.03296703296703297	0.6111111111111112	0.5	0.5604395604395604	0.0	0.06521739130434782	0.04395604395604396	0.4444444444444444	0.5434782608695652	0.6043956043956044	0.0	0.043478260869565216	0.03296703296703297	0.5	0.5	0.5604395604395604	0.10869565217391304	0.6521739130434783	0.06593406593406594	0.6483516483516484
9	18	46	91	False	0.05555555555555555	0.10869565217391304	0.06593406593406594	0.6666666666666666	0.5652173913043478	0.5824175824175825	0.05555555555555555	0.043478260869565216	0.054945054945054944	0.7777777777777778	0.6304347826086957	0.6483516483516484	0.0	0.043478260869565216	0.03296703296703297	0.6111111111111112	0.4782608695652174	0.5604395604395604	0.05555555555555555	0.043478260869565216	0.04395604395604396	0.7777777777777778	0.5217391304347826	0.6043956043956044	0.05555555555555555	0.021739130434782608	0.03296703296703297	0.6666666666666666	0.5	0.5604395604395604	0.10869565217391304	0.6304347826086957	0.06593406593406594	0.6483516483516484
10	18	46	91	False	0.05555555555555555	0.08695652173913043	0.06593406593406594	0.4444444444444444	0.5652173913043478	0.5824175824175825	0.05555555555555555	0.06521739130434782	0.054945054945054944	0.7777777777777778	0.5652173913043478	0.6483516483516484	0.0	0.021739130434782608	0.03296703296703297	0.5	0.5217391304347826	0.5604395604395604	0.05555555555555555	0.043478260869565216	0.04395604395604396	0.6666666666666666	0.5652173913043478	0.6043956043956044	0.05555555555555555	0.0	0.03296703296703297	0.6111111111111112	0.4782608695652174	0.5604395604395604	0.08695652173913043	0.5652173913043478	0.06593406593406594	0.6483516483516484
