subset	model	method	topk_detection_precision	topk_detection_recall	topk_detection_f1	topk_detection_hit_rate	conformal_detection_precision	conformal_detection_recall	conformal_detection_f1	conformal_detection_hit_rate	acc@1	acc@2	acc@3	mrr@3	tol_acc@1	tol_acc@2	tol_acc@3	tol_acc@4	tol_acc@5	auroc	auprc	n
algorithm-generated	deepseek-8b	oat.s42	0.1587	0.4762	0.2381	0.4762	0.1653	0.1984	0.1759	0.1984	0.1508	0.3095	0.4762	0.2857	0.3254	0.5079	0.5873	0.7698	0.8730	0.5048	0.1497	126
algorithm-generated	deepseek-8b	oat.s43	0.1587	0.4762	0.2381	0.4762	0.1653	0.2222	0.1839	0.2222	0.1508	0.3175	0.4762	0.2870	0.3095	0.4921	0.5873	0.7540	0.8651	0.5037	0.1495	126
algorithm-generated	deepseek-8b	oat.s44	0.1561	0.4683	0.2341	0.4683	0.1429	0.1746	0.1534	0.1746	0.1587	0.3175	0.4683	0.2884	0.3413	0.5159	0.6032	0.7619	0.8730	0.5012	0.1493	126
algorithm-generated	deepseek-8b	oat.s45	0.1561	0.4683	0.2341	0.4683	0.1561	0.1984	0.1693	0.1984	0.1508	0.3333	0.4683	0.2870	0.3254	0.5079	0.5873	0.7540	0.8571	0.5008	0.1489	126
algorithm-generated	deepseek-8b	oat.s46	0.1614	0.4841	0.2421	0.4841	0.1534	0.1984	0.1680	0.1984	0.1587	0.3175	0.4841	0.2937	0.3175	0.5000	0.5873	0.7857	0.8889	0.5053	0.1499	126
algorithm-generated	deepseek-8b	stepfinder.s42	0.1825	0.5476	0.2738	0.5476					0.2063	0.3651	0.5476	0.3466	0.3333	0.5556	0.6429	0.8492	0.9048	0.6491	0.1767	126
algorithm-generated	deepseek-8b	stepfinder.s43	0.2011	0.6032	0.3016	0.6032					0.2222	0.4841	0.6032	0.3929	0.4206	0.6349	0.7540	0.9048	0.9286	0.6849	0.2156	126
algorithm-generated	deepseek-8b	stepfinder.s44	0.1799	0.5397	0.2698	0.5397					0.1984	0.3333	0.5397	0.3347	0.3333	0.5635	0.6349	0.8492	0.9127	0.6218	0.1600	126
algorithm-generated	deepseek-8b	stepfinder.s45	0.1640	0.4921	0.2460	0.4921					0.1349	0.3492	0.4921	0.2897	0.2778	0.5476	0.6429	0.8571	0.9127	0.5952	0.1502	126
algorithm-generated	deepseek-8b	stepfinder.s46	0.1931	0.5794	0.2897	0.5794					0.1746	0.3889	0.5794	0.3452	0.3254	0.5794	0.6746	0.8571	0.9048	0.6190	0.1600	126
algorithm-generated	qwen3-embedding-0.6b	stepfinder.s42	0.1799	0.5397	0.2698	0.5397					0.2143	0.3968	0.5397	0.3532	0.3651	0.5714	0.6825	0.8254	0.8651	0.6733	0.1854	126
algorithm-generated	qwen3-embedding-0.6b	stepfinder.s43	0.2037	0.6111	0.3056	0.6111					0.2460	0.5000	0.6111	0.4101	0.4603	0.6111	0.7302	0.8175	0.8968	0.7122	0.2250	126
algorithm-generated	qwen3-embedding-0.6b	stepfinder.s44	0.2037	0.6111	0.3056	0.6111					0.2222	0.4365	0.6111	0.3876	0.3810	0.5476	0.6905	0.8175	0.8889	0.7034	0.2160	126
algorithm-generated	qwen3-embedding-0.6b	stepfinder.s45	0.1905	0.5714	0.2857	0.5714					0.1746	0.4127	0.5714	0.3466	0.3413	0.5794	0.6984	0.8413	0.8889	0.6894	0.2060	126
algorithm-generated	qwen3-embedding-0.6b	stepfinder.s46	0.1878	0.5635	0.2817	0.5635					0.2381	0.3968	0.5635	0.3730	0.3810	0.5952	0.7302	0.8730	0.8889	0.6807	0.2004	126
algorithm-generated	qwen3.5-9b	oat.s42	0.1746	0.5238	0.2619	0.5238	0.1885	0.2619	0.2108	0.2619	0.1984	0.3492	0.5238	0.3320	0.3254	0.5397	0.5952	0.7778	0.8571	0.5288	0.1740	126
algorithm-generated	qwen3.5-9b	oat.s43	0.1878	0.5635	0.2817	0.5635	0.1911	0.2698	0.2148	0.2698	0.1825	0.3571	0.5635	0.3386	0.3254	0.5635	0.6190	0.7540	0.8333	0.5289	0.1721	126
algorithm-generated	qwen3.5-9b	oat.s44	0.1878	0.5635	0.2817	0.5635	0.1865	0.2698	0.2130	0.2698	0.1905	0.3413	0.5635	0.3399	0.3254	0.5714	0.6190	0.7698	0.8333	0.5399	0.1750	126
algorithm-generated	qwen3.5-9b	oat.s45	0.1825	0.5476	0.2738	0.5476	0.2103	0.2937	0.2354	0.2937	0.1984	0.3333	0.5476	0.3373	0.3333	0.5714	0.6190	0.7619	0.8333	0.5280	0.1708	126
algorithm-generated	qwen3.5-9b	oat.s46	0.1878	0.5635	0.2817	0.5635	0.2328	0.2619	0.2421	0.2619	0.2302	0.3413	0.5635	0.3598	0.3571	0.5873	0.6349	0.7857	0.8492	0.5348	0.1760	126
algorithm-generated	qwen3.5-9b	stepfinder.s42	0.1878	0.5635	0.2817	0.5635					0.1905	0.3810	0.5635	0.3466	0.3730	0.5635	0.6349	0.8333	0.9206	0.6344	0.1622	126
algorithm-generated	qwen3.5-9b	stepfinder.s43	0.1693	0.5079	0.2540	0.5079					0.1349	0.2857	0.5079	0.2844	0.2381	0.5159	0.6349	0.8492	0.9127	0.5856	0.1392	126
algorithm-generated	qwen3.5-9b	stepfinder.s44	0.1958	0.5873	0.2937	0.5873					0.1905	0.4048	0.5873	0.3585	0.3651	0.5714	0.6429	0.7937	0.8810	0.6634	0.1803	126
algorithm-generated	qwen3.5-9b	stepfinder.s45	0.1720	0.5159	0.2579	0.5159					0.1270	0.3492	0.5159	0.2937	0.2937	0.5317	0.6190	0.8492	0.9127	0.5910	0.1430	126
algorithm-generated	qwen3.5-9b	stepfinder.s46	0.1825	0.5476	0.2738	0.5476					0.2302	0.4206	0.5476	0.3677	0.3651	0.5635	0.6508	0.8333	0.9127	0.6156	0.1692	126
hand-crafted	deepseek-8b	oat.s42	0.1149	0.3448	0.1724	0.3448	0.1014	0.4483	0.1420	0.4483	0.1552	0.2241	0.3448	0.2299	0.1897	0.2241	0.2759	0.3621	0.3621	0.6990	0.0586	58
