seed	n_val	n_test	n_full	gt_in_prompt	stepfinder-alg.s42_step@1_val	stepfinder-alg.s42_step@1_test	stepfinder-alg.s42_step@1_full	stepfinder-alg.s42_agent@1_val	stepfinder-alg.s42_agent@1_test	stepfinder-alg.s42_agent@1_full	stepfinder-alg.s43_step@1_val	stepfinder-alg.s43_step@1_test	stepfinder-alg.s43_step@1_full	stepfinder-alg.s43_agent@1_val	stepfinder-alg.s43_agent@1_test	stepfinder-alg.s43_agent@1_full	stepfinder-alg.s44_step@1_val	stepfinder-alg.s44_step@1_test	stepfinder-alg.s44_step@1_full	stepfinder-alg.s44_agent@1_val	stepfinder-alg.s44_agent@1_test	stepfinder-alg.s44_agent@1_full	stepfinder-alg.s45_step@1_val	stepfinder-alg.s45_step@1_test	stepfinder-alg.s45_step@1_full	stepfinder-alg.s45_agent@1_val	stepfinder-alg.s45_agent@1_test	stepfinder-alg.s45_agent@1_full	stepfinder-alg.s46_step@1_val	stepfinder-alg.s46_step@1_test	stepfinder-alg.s46_step@1_full	stepfinder-alg.s46_agent@1_val	stepfinder-alg.s46_agent@1_test	stepfinder-alg.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	26	64	127	False	0.0	0.09375	0.06299212598425197	0.6923076923076923	0.84375	0.7637795275590551	0.038461538461538464	0.078125	0.06299212598425197	0.6538461538461539	0.8125	0.7401574803149606	0.0	0.046875	0.047244094488188976	0.6153846153846154	0.765625	0.7165354330708661	0.07692307692307693	0.078125	0.07086614173228346	0.7692307692307693	0.90625	0.8267716535433071	0.0	0.046875	0.03937007874015748	0.6538461538461539	0.8125	0.7401574803149606	0.09375	0.90625	0.07086614173228346	0.8267716535433071
2	26	64	127	False	0.07692307692307693	0.046875	0.06299212598425197	0.8076923076923077	0.734375	0.7637795275590551	0.11538461538461539	0.03125	0.06299212598425197	0.7692307692307693	0.71875	0.7401574803149606	0.07692307692307693	0.03125	0.047244094488188976	0.7307692307692307	0.640625	0.7165354330708661	0.07692307692307693	0.078125	0.07086614173228346	0.8076923076923077	0.796875	0.8267716535433071	0.038461538461538464	0.046875	0.03937007874015748	0.8076923076923077	0.6875	0.7401574803149606	0.078125	0.796875	0.07086614173228346	0.8267716535433071
3	26	64	127	False	0.11538461538461539	0.0625	0.06299212598425197	0.8461538461538461	0.796875	0.7637795275590551	0.07692307692307693	0.0625	0.06299212598425197	0.8461538461538461	0.78125	0.7401574803149606	0.07692307692307693	0.03125	0.047244094488188976	0.7692307692307693	0.765625	0.7165354330708661	0.038461538461538464	0.078125	0.07086614173228346	0.9230769230769231	0.84375	0.8267716535433071	0.038461538461538464	0.03125	0.03937007874015748	0.8846153846153846	0.78125	0.7401574803149606	0.078125	0.84375	0.07086614173228346	0.8267716535433071
4	26	64	127	False	0.07692307692307693	0.078125	0.06299212598425197	0.8076923076923077	0.828125	0.7637795275590551	0.11538461538461539	0.078125	0.06299212598425197	0.7692307692307693	0.8125	0.7401574803149606	0.07692307692307693	0.0625	0.047244094488188976	0.7692307692307693	0.75	0.7165354330708661	0.07692307692307693	0.09375	0.07086614173228346	0.8461538461538461	0.890625	0.8267716535433071	0.038461538461538464	0.046875	0.03937007874015748	0.7307692307692307	0.796875	0.7401574803149606	0.09375	0.890625	0.07086614173228346	0.8267716535433071
5	26	64	127	False	0.0	0.03125	0.06299212598425197	0.8076923076923077	0.75	0.7637795275590551	0.0	0.046875	0.06299212598425197	0.8076923076923077	0.703125	0.7401574803149606	0.038461538461538464	0.015625	0.047244094488188976	0.8076923076923077	0.65625	0.7165354330708661	0.038461538461538464	0.0625	0.07086614173228346	0.9230769230769231	0.796875	0.8267716535433071	0.0	0.03125	0.03937007874015748	0.7307692307692307	0.765625	0.7401574803149606	0.0625	0.796875	0.07086614173228346	0.8267716535433071
6	26	64	127	False	0.0	0.046875	0.06299212598425197	0.7307692307692307	0.796875	0.7637795275590551	0.0	0.046875	0.06299212598425197	0.7307692307692307	0.75	0.7401574803149606	0.0	0.0625	0.047244094488188976	0.7692307692307693	0.671875	0.7165354330708661	0.11538461538461539	0.03125	0.07086614173228346	0.7692307692307693	0.8125	0.8267716535433071	0.0	0.03125	0.03937007874015748	0.7307692307692307	0.734375	0.7401574803149606	0.0625	0.8125	0.07086614173228346	0.8267716535433071
7	26	64	127	False	0.0	0.09375	0.06299212598425197	0.8461538461538461	0.75	0.7637795275590551	0.038461538461538464	0.078125	0.06299212598425197	0.8076923076923077	0.734375	0.7401574803149606	0.0	0.078125	0.047244094488188976	0.6923076923076923	0.703125	0.7165354330708661	0.07692307692307693	0.078125	0.07086614173228346	0.8846153846153846	0.8125	0.8267716535433071	0.038461538461538464	0.046875	0.03937007874015748	0.6923076923076923	0.75	0.7401574803149606	0.09375	0.8125	0.07086614173228346	0.8267716535433071
8	26	64	127	False	0.038461538461538464	0.09375	0.06299212598425197	0.7692307692307693	0.8125	0.7637795275590551	0.038461538461538464	0.0625	0.06299212598425197	0.7307692307692307	0.8125	0.7401574803149606	0.038461538461538464	0.046875	0.047244094488188976	0.8076923076923077	0.734375	0.7165354330708661	0.038461538461538464	0.046875	0.07086614173228346	0.8076923076923077	0.828125	0.8267716535433071	0.0	0.046875	0.03937007874015748	0.7307692307692307	0.734375	0.7401574803149606	0.09375	0.828125	0.07086614173228346	0.8267716535433071
9	26	64	127	False	0.038461538461538464	0.046875	0.06299212598425197	0.6923076923076923	0.71875	0.7637795275590551	0.0	0.046875	0.06299212598425197	0.6923076923076923	0.671875	0.7401574803149606	0.0	0.046875	0.047244094488188976	0.6153846153846154	0.6875	0.7165354330708661	0.038461538461538464	0.078125	0.07086614173228346	0.8076923076923077	0.8125	0.8267716535433071	0.038461538461538464	0.03125	0.03937007874015748	0.7307692307692307	0.6875	0.7401574803149606	0.078125	0.8125	0.07086614173228346	0.8267716535433071
10	26	64	127	False	0.038461538461538464	0.109375	0.06299212598425197	0.6923076923076923	0.796875	0.7637795275590551	0.038461538461538464	0.09375	0.06299212598425197	0.6538461538461539	0.796875	0.7401574803149606	0.0	0.0625	0.047244094488188976	0.6923076923076923	0.765625	0.7165354330708661	0.038461538461538464	0.09375	0.07086614173228346	0.7307692307692307	0.859375	0.8267716535433071	0.0	0.046875	0.03937007874015748	0.6538461538461539	0.75	0.7401574803149606	0.109375	0.859375	0.07086614173228346	0.8267716535433071
11	26	64	127	False	0.07692307692307693	0.0625	0.06299212598425197	0.8076923076923077	0.71875	0.7637795275590551	0.038461538461538464	0.09375	0.06299212598425197	0.8076923076923077	0.671875	0.7401574803149606	0.038461538461538464	0.0625	0.047244094488188976	0.7307692307692307	0.71875	0.7165354330708661	0.0	0.125	0.07086614173228346	0.9615384615384616	0.734375	0.8267716535433071	0.0	0.046875	0.03937007874015748	0.8461538461538461	0.6875	0.7401574803149606	0.125	0.734375	0.07086614173228346	0.8267716535433071
12	26	64	127	False	0.038461538461538464	0.03125	0.06299212598425197	0.7692307692307693	0.734375	0.7637795275590551	0.07692307692307693	0.015625	0.06299212598425197	0.7692307692307693	0.71875	0.7401574803149606	0.038461538461538464	0.015625	0.047244094488188976	0.8076923076923077	0.703125	0.7165354330708661	0.07692307692307693	0.046875	0.07086614173228346	0.8846153846153846	0.796875	0.8267716535433071	0.0	0.03125	0.03937007874015748	0.6923076923076923	0.71875	0.7401574803149606	0.046875	0.796875	0.07086614173228346	0.8267716535433071
13	26	64	127	False	0.07692307692307693	0.015625	0.06299212598425197	0.8461538461538461	0.78125	0.7637795275590551	0.11538461538461539	0.015625	0.06299212598425197	0.8076923076923077	0.75	0.7401574803149606	0.038461538461538464	0.03125	0.047244094488188976	0.6538461538461539	0.71875	0.7165354330708661	0.038461538461538464	0.046875	0.07086614173228346	0.8846153846153846	0.84375	0.8267716535433071	0.07692307692307693	0.015625	0.03937007874015748	0.7307692307692307	0.765625	0.7401574803149606	0.046875	0.84375	0.07086614173228346	0.8267716535433071
14	26	64	127	False	0.07692307692307693	0.046875	0.06299212598425197	0.8461538461538461	0.765625	0.7637795275590551	0.07692307692307693	0.078125	0.06299212598425197	0.8461538461538461	0.75	0.7401574803149606	0.038461538461538464	0.0625	0.047244094488188976	0.8076923076923077	0.703125	0.7165354330708661	0.038461538461538464	0.109375	0.07086614173228346	0.8461538461538461	0.828125	0.8267716535433071	0.038461538461538464	0.046875	0.03937007874015748	0.7692307692307693	0.765625	0.7401574803149606	0.109375	0.828125	0.07086614173228346	0.8267716535433071
