model	subset	n_val	n_test	n_full	gt_in_prompt	stepfinder-pca-tsel.s42_step@1_val	stepfinder-pca-tsel.s42_step@1_test	stepfinder-pca-tsel.s42_step@1_full	stepfinder-pca-tsel.s42_agent@1_val	stepfinder-pca-tsel.s42_agent@1_test	stepfinder-pca-tsel.s42_agent@1_full	stepfinder-pca-tsel.s43_step@1_val	stepfinder-pca-tsel.s43_step@1_test	stepfinder-pca-tsel.s43_step@1_full	stepfinder-pca-tsel.s43_agent@1_val	stepfinder-pca-tsel.s43_agent@1_test	stepfinder-pca-tsel.s43_agent@1_full	stepfinder-pca-tsel.s44_step@1_val	stepfinder-pca-tsel.s44_step@1_test	stepfinder-pca-tsel.s44_step@1_full	stepfinder-pca-tsel.s44_agent@1_val	stepfinder-pca-tsel.s44_agent@1_test	stepfinder-pca-tsel.s44_agent@1_full	stepfinder-pca-tsel.s45_step@1_val	stepfinder-pca-tsel.s45_step@1_test	stepfinder-pca-tsel.s45_step@1_full	stepfinder-pca-tsel.s45_agent@1_val	stepfinder-pca-tsel.s45_agent@1_test	stepfinder-pca-tsel.s45_agent@1_full	stepfinder-pca-tsel.s46_step@1_val	stepfinder-pca-tsel.s46_step@1_test	stepfinder-pca-tsel.s46_step@1_full	stepfinder-pca-tsel.s46_agent@1_val	stepfinder-pca-tsel.s46_agent@1_test	stepfinder-pca-tsel.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3-embedding-0.6b	arc	61.0	152.0	304.0	0.0	0.09289617486338797	0.07894736842105264	0.0756578947368421	0.21857923497267762	0.19736842105263155	0.18421052631578946	0.01639344262295082	0.015350877192982455	0.013157894736842105	0.13114754098360656	0.1206140350877193	0.1118421052631579	0.04371584699453552	0.048245614035087724	0.03618421052631579	0.14207650273224046	0.1513157894736842	0.13486842105263158	0.03278688524590164	0.024122807017543862	0.023026315789473683	0.1530054644808743	0.13596491228070176	0.125	0.00546448087431694	0.02631578947368421	0.019736842105263157	0.13114754098360656	0.11622807017543861	0.11513157894736842	0.07894736842105264	0.19736842105263155	0.0756578947368421	0.18421052631578946
qwen3-embedding-0.6b	gaia	10.0	25.0	50.0	0.0	0.43333333333333335	0.25333333333333335	0.32	0.6333333333333333	0.5066666666666667	0.56	0.03333333333333333	0.04	0.04	0.26666666666666666	0.48	0.38000000000000006	0.03333333333333333	0.06666666666666667	0.06	0.3666666666666667	0.4666666666666666	0.44	0.06666666666666667	0.05333333333333334	0.04	0.26666666666666666	0.3866666666666667	0.32	0.03333333333333333	0.04	0.04	0.3666666666666667	0.3333333333333333	0.32	0.25333333333333335	0.5733333333333334	0.32	0.56
qwen3-embedding-0.6b	hotpot	116.0	289.0	578.0	0.0	0.20977011494252873	0.23068050749711647	0.2231833910034602	0.6724137931034483	0.6089965397923875	0.6245674740484429	0.08620689655172414	0.0784313725490196	0.07958477508650519	0.4568965517241379	0.44752018454440606	0.458477508650519	0.14080459770114942	0.1637831603229527	0.1522491349480969	0.4540229885057471	0.4717416378316033	0.45501730103806226	0.13505747126436782	0.12918108419838523	0.13494809688581316	0.4942528735632184	0.49826989619377166	0.5121107266435986	0.0632183908045977	0.08765859284890426	0.08477508650519032	0.5201149425287356	0.5213379469434832	0.5155709342560554	0.23068050749711647	0.6089965397923875	0.2231833910034602	0.6245674740484429
qwen3-embedding-0.6b	math500	32.0	79.0	157.0	0.0	0.09375	0.05063291139240506	0.05732484076433122	0.2708333333333333	0.24894514767932488	0.25477707006369427	0.08333333333333333	0.0379746835443038	0.044585987261146494	0.22916666666666666	0.21940928270042193	0.21656050955414016	0.07291666666666667	0.06329113924050633	0.06369426751592357	0.2916666666666667	0.19831223628691985	0.22929936305732487	0.041666666666666664	0.05063291139240506	0.044585987261146494	0.28125	0.19831223628691985	0.21656050955414016	0.0625	0.04641350210970464	0.05732484076433122	0.16666666666666666	0.16033755274261605	0.17197452229299362	0.06751054852320676	0.24894514767932488	0.06369426751592357	0.25477707006369427
qwen3-embedding-0.6b	mmlu_pro	19.0	46.0	92.0	0.0	0.05263157894736842	0.06521739130434782	0.05434782608695652	0.2456140350877193	0.31884057971014496	0.2826086956521739	0.07017543859649122	0.036231884057971016	0.043478260869565216	0.15789473684210525	0.20289855072463767	0.16304347826086957	0.0	0.036231884057971016	0.021739130434782608	0.21052631578947367	0.23913043478260868	0.22826086956521738	0.05263157894736842	0.028985507246376812	0.03260869565217391	0.15789473684210525	0.19565217391304346	0.1847826086956522	0.07017543859649122	0.036231884057971016	0.043478260869565216	0.17543859649122806	0.16666666666666666	0.15217391304347827	0.06521739130434782	0.31884057971014496	0.05434782608695652	0.2826086956521739
qwen3-embedding-0.6b	musique	63.0	156.0	312.0	0.0	0.19047619047619047	0.20299145299145296	0.19230769230769232	0.6243386243386243	0.608974358974359	0.625	0.06349206349206349	0.07478632478632478	0.08653846153846152	0.5238095238095238	0.47222222222222215	0.483974358974359	0.10052910052910052	0.1047008547008547	0.125	0.4708994708994709	0.46581196581196577	0.5	0.06878306878306878	0.08760683760683761	0.09294871794871795	0.4603174603174603	0.5	0.4967948717948718	0.042328042328042326	0.06837606837606837	0.0673076923076923	0.5238095238095238	0.47008547008547	0.4807692307692308	0.20299145299145296	0.608974358974359	0.19230769230769232	0.625
qwen3-embedding-0.6b	wikimqa	147.0	367.0	733.0	0.0	0.17913832199546484	0.16348773841961853	0.165075034106412	0.6394557823129251	0.6030881017257038	0.6207366984993179	0.06349206349206349	0.05994550408719346	0.05593451568894952	0.47392290249433106	0.5040871934604905	0.495225102319236	0.09750566893424036	0.11807447774750228	0.11459754433833562	0.5215419501133787	0.5131698455949137	0.5156889495225102	0.10430839002267574	0.09536784741144415	0.09413369713506141	0.5464852607709751	0.5231607629427794	0.5252387448840382	0.04308390022675737	0.04268846503178928	0.040927694406548434	0.48526077097505665	0.5204359673024523	0.5115961800818554	0.16348773841961853	0.6030881017257038	0.165075034106412	0.6207366984993179
qwen3.5-9b	arc	61.0	152.0	304.0	0.0	0.49180327868852464	0.46271929824561403	0.4769736842105263	0.6010928961748634	0.5394736842105264	0.555921052631579	0.7213114754098361	0.7039473684210527	0.7171052631578947	0.8251366120218581	0.7960526315789475	0.7927631578947368	0.5683060109289618	0.5592105263157895	0.5657894736842105	0.6775956284153005	0.6425438596491228	0.6414473684210527	0.08743169398907102	0.06359649122807016	0.0625	0.1912568306010929	0.17324561403508773	0.1611842105263158	0.7814207650273225	0.75	0.7598684210526315	0.8688524590163934	0.8179824561403509	0.8223684210526315	0.75	0.8179824561403509	0.7598684210526315	0.8223684210526315
qwen3.5-9b	gaia	10.0	25.0	50.0	0.0	0.26666666666666666	0.20000000000000004	0.18000000000000002	0.6333333333333333	0.49333333333333335	0.52	0.3	0.26666666666666666	0.26	0.6333333333333333	0.56	0.58	0.3666666666666667	0.29333333333333333	0.3	0.7666666666666666	0.56	0.62	0.06666666666666667	0.09333333333333334	0.08	0.43333333333333335	0.4266666666666667	0.44	0.4000000000000001	0.3333333333333333	0.32	0.7000000000000001	0.6133333333333334	0.64	0.3333333333333333	0.6133333333333334	0.32	0.64
qwen3.5-9b	hotpot	116.0	289.0	578.0	0.0	0.22126436781609196	0.20069204152249134	0.2058823529411765	0.7183908045977011	0.6931949250288351	0.698961937716263	0.13505747126436782	0.14417531718569782	0.14705882352941177	0.7241379310344828	0.7081891580161477	0.7110726643598616	0.20689655172413793	0.1914648212226067	0.19550173010380623	0.7040229885057471	0.7024221453287197	0.6972318339100346	0.21551724137931036	0.1660899653979239	0.16782006920415224	0.6379310344827586	0.6193771626297578	0.6089965397923875	0.30172413793103453	0.25490196078431376	0.2698961937716263	0.7298850574712644	0.7370242214532873	0.7335640138408305	0.25490196078431376	0.7370242214532873	0.2698961937716263	0.7335640138408305
