seed	n_val	n_test	n_full	gt_in_prompt	errorprobe_step@1_val	errorprobe_step@1_test	errorprobe_step@1_full	errorprobe_agent@1_val	errorprobe_agent@1_test	errorprobe_agent@1_full	errorprobe_bt_step@1_val	errorprobe_bt_step@1_test	errorprobe_bt_step@1_full	errorprobe_bt_agent@1_val	errorprobe_bt_agent@1_test	errorprobe_bt_agent@1_full	errorprobe_paper_step@1_val	errorprobe_paper_step@1_test	errorprobe_paper_step@1_full	errorprobe_paper_agent@1_val	errorprobe_paper_agent@1_test	errorprobe_paper_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	18	46	91	False													0.3888888888888889	0.08695652173913043	0.17582417582417584	0.7222222222222222	0.8043478260869565	0.7582417582417582	0.08695652173913043	0.8043478260869565	0.17582417582417584	0.7582417582417582
2	18	46	91	False													0.16666666666666666	0.15217391304347827	0.17582417582417584	0.7777777777777778	0.7608695652173914	0.7582417582417582	0.15217391304347827	0.7608695652173914	0.17582417582417584	0.7582417582417582
3	18	46	91	False													0.1111111111111111	0.1956521739130435	0.17582417582417584	0.8333333333333334	0.6956521739130435	0.7582417582417582	0.1956521739130435	0.6956521739130435	0.17582417582417584	0.7582417582417582
4	18	46	91	False													0.2222222222222222	0.17391304347826086	0.17582417582417584	0.7777777777777778	0.717391304347826	0.7582417582417582	0.17391304347826086	0.717391304347826	0.17582417582417584	0.7582417582417582
5	18	46	91	False													0.2777777777777778	0.13043478260869565	0.17582417582417584	0.7222222222222222	0.7608695652173914	0.7582417582417582	0.13043478260869565	0.7608695652173914	0.17582417582417584	0.7582417582417582
6	18	46	91	False													0.2222222222222222	0.17391304347826086	0.17582417582417584	0.8333333333333334	0.7391304347826086	0.7582417582417582	0.17391304347826086	0.7391304347826086	0.17582417582417584	0.7582417582417582
7	18	46	91	False													0.0	0.1956521739130435	0.17582417582417584	0.5	0.7608695652173914	0.7582417582417582	0.1956521739130435	0.7608695652173914	0.17582417582417584	0.7582417582417582
8	18	46	91	False													0.1111111111111111	0.2391304347826087	0.17582417582417584	0.8333333333333334	0.782608695652174	0.7582417582417582	0.2391304347826087	0.782608695652174	0.17582417582417584	0.7582417582417582
9	18	46	91	False													0.16666666666666666	0.1956521739130435	0.17582417582417584	0.6111111111111112	0.8260869565217391	0.7582417582417582	0.1956521739130435	0.8260869565217391	0.17582417582417584	0.7582417582417582
10	18	46	91	False													0.2777777777777778	0.15217391304347827	0.17582417582417584	0.6666666666666666	0.782608695652174	0.7582417582417582	0.15217391304347827	0.782608695652174	0.17582417582417584	0.7582417582417582
11	18	46	91	False													0.16666666666666666	0.15217391304347827	0.17582417582417584	0.7777777777777778	0.7608695652173914	0.7582417582417582	0.15217391304347827	0.7608695652173914	0.17582417582417584	0.7582417582417582
12	18	46	91	False													0.2222222222222222	0.13043478260869565	0.17582417582417584	0.6111111111111112	0.8043478260869565	0.7582417582417582	0.13043478260869565	0.8043478260869565	0.17582417582417584	0.7582417582417582
13	18	46	91	False													0.1111111111111111	0.1956521739130435	0.17582417582417584	0.8333333333333334	0.7391304347826086	0.7582417582417582	0.1956521739130435	0.7391304347826086	0.17582417582417584	0.7582417582417582
14	18	46	91	False													0.16666666666666666	0.10869565217391304	0.17582417582417584	0.7777777777777778	0.782608695652174	0.7582417582417582	0.10869565217391304	0.782608695652174	0.17582417582417584	0.7582417582417582
15	18	46	91	False													0.2777777777777778	0.15217391304347827	0.17582417582417584	0.6111111111111112	0.782608695652174	0.7582417582417582	0.15217391304347827	0.782608695652174	0.17582417582417584	0.7582417582417582
16	18	46	91	False													0.1111111111111111	0.2391304347826087	0.17582417582417584	0.8333333333333334	0.717391304347826	0.7582417582417582	0.2391304347826087	0.717391304347826	0.17582417582417584	0.7582417582417582
17	18	46	91	False													0.05555555555555555	0.21739130434782608	0.17582417582417584	0.7222222222222222	0.782608695652174	0.7582417582417582	0.21739130434782608	0.782608695652174	0.17582417582417584	0.7582417582417582
18	18	46	91	False													0.16666666666666666	0.21739130434782608	0.17582417582417584	0.8888888888888888	0.782608695652174	0.7582417582417582	0.21739130434782608	0.782608695652174	0.17582417582417584	0.7582417582417582
19	18	46	91	False													0.2222222222222222	0.13043478260869565	0.17582417582417584	0.6666666666666666	0.782608695652174	0.7582417582417582	0.13043478260869565	0.782608695652174	0.17582417582417584	0.7582417582417582
20	18	46	91	False													0.2222222222222222	0.2391304347826087	0.17582417582417584	0.7777777777777778	0.717391304347826	0.7582417582417582	0.2391304347826087	0.717391304347826	0.17582417582417584	0.7582417582417582
