seed	n_val	n_test	n_full	gt_in_prompt	stepfinder-pca.s42_step@1_val	stepfinder-pca.s42_step@1_test	stepfinder-pca.s42_step@1_full	stepfinder-pca.s42_agent@1_val	stepfinder-pca.s42_agent@1_test	stepfinder-pca.s42_agent@1_full	stepfinder-pca.s43_step@1_val	stepfinder-pca.s43_step@1_test	stepfinder-pca.s43_step@1_full	stepfinder-pca.s43_agent@1_val	stepfinder-pca.s43_agent@1_test	stepfinder-pca.s43_agent@1_full	stepfinder-pca.s44_step@1_val	stepfinder-pca.s44_step@1_test	stepfinder-pca.s44_step@1_full	stepfinder-pca.s44_agent@1_val	stepfinder-pca.s44_agent@1_test	stepfinder-pca.s44_agent@1_full	stepfinder-pca.s45_step@1_val	stepfinder-pca.s45_step@1_test	stepfinder-pca.s45_step@1_full	stepfinder-pca.s45_agent@1_val	stepfinder-pca.s45_agent@1_test	stepfinder-pca.s45_agent@1_full	stepfinder-pca.s46_step@1_val	stepfinder-pca.s46_step@1_test	stepfinder-pca.s46_step@1_full	stepfinder-pca.s46_agent@1_val	stepfinder-pca.s46_agent@1_test	stepfinder-pca.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	63	156	312	False	0.2857142857142857	0.26282051282051283	0.2532051282051282	0.7936507936507936	0.6730769230769231	0.6955128205128205	0.2222222222222222	0.22435897435897437	0.20512820512820512	0.746031746031746	0.6346153846153846	0.6538461538461539	0.30158730158730157	0.22435897435897437	0.23717948717948717	0.7301587301587301	0.6089743589743589	0.6538461538461539	0.23809523809523808	0.21794871794871795	0.22435897435897437	0.7142857142857143	0.6346153846153846	0.6634615384615384	0.23809523809523808	0.28205128205128205	0.2564102564102564	0.7619047619047619	0.6666666666666666	0.6762820512820513	0.28205128205128205	0.6730769230769231	0.2564102564102564	0.6955128205128205
2	63	156	312	False	0.20634920634920634	0.2564102564102564	0.2532051282051282	0.6825396825396826	0.7371794871794872	0.6955128205128205	0.2222222222222222	0.21794871794871795	0.20512820512820512	0.5873015873015873	0.6730769230769231	0.6538461538461539	0.2222222222222222	0.21794871794871795	0.23717948717948717	0.6666666666666666	0.6474358974358975	0.6538461538461539	0.23809523809523808	0.23076923076923078	0.22435897435897437	0.6507936507936508	0.6987179487179487	0.6634615384615384	0.2222222222222222	0.27564102564102566	0.2564102564102564	0.6666666666666666	0.7115384615384616	0.6762820512820513	0.27564102564102566	0.7371794871794872	0.2564102564102564	0.6955128205128205
3	63	156	312	False	0.30158730158730157	0.26282051282051283	0.2532051282051282	0.6666666666666666	0.6794871794871795	0.6955128205128205	0.2222222222222222	0.19230769230769232	0.20512820512820512	0.5873015873015873	0.6602564102564102	0.6538461538461539	0.25396825396825395	0.2564102564102564	0.23717948717948717	0.7142857142857143	0.6217948717948718	0.6538461538461539	0.19047619047619047	0.24358974358974358	0.22435897435897437	0.6031746031746031	0.6858974358974359	0.6634615384615384	0.2222222222222222	0.28846153846153844	0.2564102564102564	0.6507936507936508	0.6666666666666666	0.6762820512820513	0.28846153846153844	0.6858974358974359	0.2564102564102564	0.6955128205128205
