seed	n_val	n_test	n_full	gt_in_prompt	correct_step@1_val	correct_step@1_test	correct_step@1_full	correct_agent@1_val	correct_agent@1_test	correct_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	18	46	91	False	0.1111111111111111	0.15217391304347827	0.0989010989010989	0.5	0.6739130434782609	0.6813186813186813	0.15217391304347827	0.6739130434782609	0.0989010989010989	0.6813186813186813
2	18	46	91	False	0.1111111111111111	0.13043478260869565	0.0989010989010989	0.7777777777777778	0.6521739130434783	0.6813186813186813	0.13043478260869565	0.6521739130434783	0.0989010989010989	0.6813186813186813
3	18	46	91	False	0.1111111111111111	0.10869565217391304	0.0989010989010989	0.7222222222222222	0.6739130434782609	0.6813186813186813	0.10869565217391304	0.6739130434782609	0.0989010989010989	0.6813186813186813
4	18	46	91	False	0.05555555555555555	0.08695652173913043	0.0989010989010989	0.6666666666666666	0.7391304347826086	0.6813186813186813	0.08695652173913043	0.7391304347826086	0.0989010989010989	0.6813186813186813
5	18	46	91	False	0.0	0.13043478260869565	0.0989010989010989	0.6111111111111112	0.6956521739130435	0.6813186813186813	0.13043478260869565	0.6956521739130435	0.0989010989010989	0.6813186813186813
6	18	46	91	False	0.05555555555555555	0.13043478260869565	0.0989010989010989	0.7777777777777778	0.6521739130434783	0.6813186813186813	0.13043478260869565	0.6521739130434783	0.0989010989010989	0.6813186813186813
7	18	46	91	False	0.0	0.17391304347826086	0.0989010989010989	0.5555555555555556	0.6521739130434783	0.6813186813186813	0.17391304347826086	0.6521739130434783	0.0989010989010989	0.6813186813186813
8	18	46	91	False	0.16666666666666666	0.08695652173913043	0.0989010989010989	0.7222222222222222	0.6956521739130435	0.6813186813186813	0.08695652173913043	0.6956521739130435	0.0989010989010989	0.6813186813186813
9	18	46	91	False	0.0	0.10869565217391304	0.0989010989010989	0.7222222222222222	0.6521739130434783	0.6813186813186813	0.10869565217391304	0.6521739130434783	0.0989010989010989	0.6813186813186813
10	18	46	91	False	0.0	0.13043478260869565	0.0989010989010989	0.6666666666666666	0.6956521739130435	0.6813186813186813	0.13043478260869565	0.6956521739130435	0.0989010989010989	0.6813186813186813
11	18	46	91	False	0.0	0.06521739130434782	0.0989010989010989	0.6111111111111112	0.6956521739130435	0.6813186813186813	0.06521739130434782	0.6956521739130435	0.0989010989010989	0.6813186813186813
12	18	46	91	False	0.05555555555555555	0.10869565217391304	0.0989010989010989	0.7222222222222222	0.6956521739130435	0.6813186813186813	0.10869565217391304	0.6956521739130435	0.0989010989010989	0.6813186813186813
13	18	46	91	False	0.1111111111111111	0.06521739130434782	0.0989010989010989	0.6666666666666666	0.6739130434782609	0.6813186813186813	0.06521739130434782	0.6739130434782609	0.0989010989010989	0.6813186813186813
14	18	46	91	False	0.16666666666666666	0.08695652173913043	0.0989010989010989	0.6666666666666666	0.6304347826086957	0.6813186813186813	0.08695652173913043	0.6304347826086957	0.0989010989010989	0.6813186813186813
15	18	46	91	False	0.1111111111111111	0.10869565217391304	0.0989010989010989	0.6666666666666666	0.7391304347826086	0.6813186813186813	0.10869565217391304	0.7391304347826086	0.0989010989010989	0.6813186813186813
16	18	46	91	False	0.05555555555555555	0.17391304347826086	0.0989010989010989	0.6111111111111112	0.7608695652173914	0.6813186813186813	0.17391304347826086	0.7608695652173914	0.0989010989010989	0.6813186813186813
17	18	46	91	False	0.05555555555555555	0.13043478260869565	0.0989010989010989	0.5555555555555556	0.782608695652174	0.6813186813186813	0.13043478260869565	0.782608695652174	0.0989010989010989	0.6813186813186813
18	18	46	91	False	0.1111111111111111	0.08695652173913043	0.0989010989010989	0.7222222222222222	0.6739130434782609	0.6813186813186813	0.08695652173913043	0.6739130434782609	0.0989010989010989	0.6813186813186813
19	18	46	91	False	0.1111111111111111	0.06521739130434782	0.0989010989010989	0.7222222222222222	0.7608695652173914	0.6813186813186813	0.06521739130434782	0.7608695652173914	0.0989010989010989	0.6813186813186813
20	18	46	91	False	0.05555555555555555	0.10869565217391304	0.0989010989010989	0.6666666666666666	0.717391304347826	0.6813186813186813	0.10869565217391304	0.717391304347826	0.0989010989010989	0.6813186813186813
