seed	n_val	n_test	n_full	gt_in_prompt	all_at_once_step@1_val	all_at_once_step@1_test	all_at_once_step@1_full	all_at_once_agent@1_val	all_at_once_agent@1_test	all_at_once_agent@1_full	step_by_step_step@1_val	step_by_step_step@1_test	step_by_step_step@1_full	step_by_step_agent@1_val	step_by_step_agent@1_test	step_by_step_agent@1_full	binary_search_step@1_val	binary_search_step@1_test	binary_search_step@1_full	binary_search_agent@1_val	binary_search_agent@1_test	binary_search_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	18	46	91	False	0.05555555555555555	0.021739130434782608	0.04395604395604396	0.5	0.6739130434782609	0.6373626373626373	0.16666666666666666	0.10869565217391304	0.12087912087912088	0.5555555555555556	0.5	0.5494505494505495	0.05555555555555555	0.10869565217391304	0.07692307692307693	0.3888888888888889	0.5	0.4835164835164835	0.10869565217391304	0.6739130434782609	0.12087912087912088	0.6373626373626373
2	18	46	91	False	0.16666666666666666	0.0	0.04395604395604396	0.6111111111111112	0.6086956521739131	0.6373626373626373	0.16666666666666666	0.08695652173913043	0.12087912087912088	0.6666666666666666	0.5	0.5494505494505495	0.1111111111111111	0.043478260869565216	0.07692307692307693	0.6111111111111112	0.43478260869565216	0.4835164835164835	0.08695652173913043	0.6086956521739131	0.12087912087912088	0.6373626373626373
3	18	46	91	False	0.0	0.08695652173913043	0.04395604395604396	0.6666666666666666	0.5652173913043478	0.6373626373626373	0.05555555555555555	0.15217391304347827	0.12087912087912088	0.6666666666666666	0.5	0.5494505494505495	0.0	0.13043478260869565	0.07692307692307693	0.4444444444444444	0.5217391304347826	0.4835164835164835	0.15217391304347827	0.5652173913043478	0.12087912087912088	0.6373626373626373
4	18	46	91	False	0.05555555555555555	0.06521739130434782	0.04395604395604396	0.5555555555555556	0.6521739130434783	0.6373626373626373	0.05555555555555555	0.13043478260869565	0.12087912087912088	0.4444444444444444	0.6086956521739131	0.5494505494505495	0.1111111111111111	0.08695652173913043	0.07692307692307693	0.7222222222222222	0.391304347826087	0.4835164835164835	0.13043478260869565	0.6521739130434783	0.12087912087912088	0.6373626373626373
5	18	46	91	False	0.1111111111111111	0.0	0.04395604395604396	0.5555555555555556	0.6739130434782609	0.6373626373626373	0.05555555555555555	0.10869565217391304	0.12087912087912088	0.4444444444444444	0.5652173913043478	0.5494505494505495	0.16666666666666666	0.043478260869565216	0.07692307692307693	0.5555555555555556	0.5	0.4835164835164835	0.10869565217391304	0.6739130434782609	0.12087912087912088	0.6373626373626373
6	18	46	91	False	0.05555555555555555	0.06521739130434782	0.04395604395604396	0.5555555555555556	0.6521739130434783	0.6373626373626373	0.05555555555555555	0.13043478260869565	0.12087912087912088	0.3888888888888889	0.6521739130434783	0.5494505494505495	0.1111111111111111	0.043478260869565216	0.07692307692307693	0.6111111111111112	0.41304347826086957	0.4835164835164835	0.13043478260869565	0.6521739130434783	0.12087912087912088	0.6373626373626373
7	18	46	91	False	0.0	0.06521739130434782	0.04395604395604396	0.6666666666666666	0.6304347826086957	0.6373626373626373	0.0	0.13043478260869565	0.12087912087912088	0.5	0.5217391304347826	0.5494505494505495	0.05555555555555555	0.08695652173913043	0.07692307692307693	0.4444444444444444	0.5217391304347826	0.4835164835164835	0.13043478260869565	0.6304347826086957	0.12087912087912088	0.6373626373626373
8	18	46	91	False	0.1111111111111111	0.043478260869565216	0.04395604395604396	0.7222222222222222	0.6304347826086957	0.6373626373626373	0.2222222222222222	0.13043478260869565	0.12087912087912088	0.6111111111111112	0.5652173913043478	0.5494505494505495	0.05555555555555555	0.06521739130434782	0.07692307692307693	0.5	0.3695652173913043	0.4835164835164835	0.13043478260869565	0.6304347826086957	0.12087912087912088	0.6373626373626373
9	18	46	91	False	0.05555555555555555	0.043478260869565216	0.04395604395604396	0.7777777777777778	0.6086956521739131	0.6373626373626373	0.05555555555555555	0.13043478260869565	0.12087912087912088	0.6666666666666666	0.5434782608695652	0.5494505494505495	0.0	0.043478260869565216	0.07692307692307693	0.16666666666666666	0.5652173913043478	0.4835164835164835	0.13043478260869565	0.6086956521739131	0.12087912087912088	0.6373626373626373
10	18	46	91	False	0.1111111111111111	0.043478260869565216	0.04395604395604396	0.6666666666666666	0.6304347826086957	0.6373626373626373	0.1111111111111111	0.10869565217391304	0.12087912087912088	0.7222222222222222	0.4782608695652174	0.5494505494505495	0.0	0.10869565217391304	0.07692307692307693	0.3888888888888889	0.5	0.4835164835164835	0.10869565217391304	0.6304347826086957	0.12087912087912088	0.6373626373626373
11	18	46	91	False	0.05555555555555555	0.021739130434782608	0.04395604395604396	0.7222222222222222	0.6304347826086957	0.6373626373626373	0.16666666666666666	0.06521739130434782	0.12087912087912088	0.6111111111111112	0.4782608695652174	0.5494505494505495	0.05555555555555555	0.10869565217391304	0.07692307692307693	0.3333333333333333	0.6086956521739131	0.4835164835164835	0.10869565217391304	0.6304347826086957	0.12087912087912088	0.6373626373626373
12	18	46	91	False	0.05555555555555555	0.0	0.04395604395604396	0.6111111111111112	0.6086956521739131	0.6373626373626373	0.16666666666666666	0.13043478260869565	0.12087912087912088	0.4444444444444444	0.5434782608695652	0.5494505494505495	0.05555555555555555	0.06521739130434782	0.07692307692307693	0.2777777777777778	0.5869565217391305	0.4835164835164835	0.13043478260869565	0.6086956521739131	0.12087912087912088	0.6373626373626373
13	18	46	91	False	0.1111111111111111	0.043478260869565216	0.04395604395604396	0.6666666666666666	0.6739130434782609	0.6373626373626373	0.16666666666666666	0.13043478260869565	0.12087912087912088	0.5555555555555556	0.5869565217391305	0.5494505494505495	0.05555555555555555	0.08695652173913043	0.07692307692307693	0.4444444444444444	0.5434782608695652	0.4835164835164835	0.13043478260869565	0.6739130434782609	0.12087912087912088	0.6373626373626373
14	18	46	91	False	0.1111111111111111	0.021739130434782608	0.04395604395604396	0.5555555555555556	0.6739130434782609	0.6373626373626373	0.2777777777777778	0.08695652173913043	0.12087912087912088	0.5555555555555556	0.6086956521739131	0.5494505494505495	0.1111111111111111	0.06521739130434782	0.07692307692307693	0.5555555555555556	0.4782608695652174	0.4835164835164835	0.08695652173913043	0.6739130434782609	0.12087912087912088	0.6373626373626373
15	18	46	91	False	0.1111111111111111	0.043478260869565216	0.04395604395604396	0.6111111111111112	0.6304347826086957	0.6373626373626373	0.1111111111111111	0.13043478260869565	0.12087912087912088	0.7222222222222222	0.5	0.5494505494505495	0.1111111111111111	0.06521739130434782	0.07692307692307693	0.3333333333333333	0.5217391304347826	0.4835164835164835	0.13043478260869565	0.6304347826086957	0.12087912087912088	0.6373626373626373
16	18	46	91	False	0.0	0.08695652173913043	0.04395604395604396	0.5555555555555556	0.6521739130434783	0.6373626373626373	0.2777777777777778	0.08695652173913043	0.12087912087912088	0.6111111111111112	0.5434782608695652	0.5494505494505495	0.1111111111111111	0.06521739130434782	0.07692307692307693	0.5555555555555556	0.5	0.4835164835164835	0.08695652173913043	0.6521739130434783	0.12087912087912088	0.6373626373626373
17	18	46	91	False	0.0	0.043478260869565216	0.04395604395604396	0.6111111111111112	0.717391304347826	0.6373626373626373	0.0	0.17391304347826086	0.12087912087912088	0.6111111111111112	0.5652173913043478	0.5494505494505495	0.0	0.06521739130434782	0.07692307692307693	0.4444444444444444	0.5	0.4835164835164835	0.17391304347826086	0.717391304347826	0.12087912087912088	0.6373626373626373
18	18	46	91	False	0.0	0.06521739130434782	0.04395604395604396	0.6666666666666666	0.5652173913043478	0.6373626373626373	0.1111111111111111	0.13043478260869565	0.12087912087912088	0.5555555555555556	0.6086956521739131	0.5494505494505495	0.1111111111111111	0.10869565217391304	0.07692307692307693	0.6111111111111112	0.5217391304347826	0.4835164835164835	0.13043478260869565	0.6086956521739131	0.12087912087912088	0.6373626373626373
19	18	46	91	False	0.05555555555555555	0.043478260869565216	0.04395604395604396	0.6666666666666666	0.7391304347826086	0.6373626373626373	0.16666666666666666	0.08695652173913043	0.12087912087912088	0.5	0.5652173913043478	0.5494505494505495	0.05555555555555555	0.06521739130434782	0.07692307692307693	0.5	0.5652173913043478	0.4835164835164835	0.08695652173913043	0.7391304347826086	0.12087912087912088	0.6373626373626373
20	18	46	91	False	0.05555555555555555	0.043478260869565216	0.04395604395604396	0.5555555555555556	0.6304347826086957	0.6373626373626373	0.16666666666666666	0.13043478260869565	0.12087912087912088	0.5	0.6304347826086957	0.5494505494505495	0.1111111111111111	0.08695652173913043	0.07692307692307693	0.6111111111111112	0.41304347826086957	0.4835164835164835	0.13043478260869565	0.6304347826086957	0.12087912087912088	0.6373626373626373
