model	subset	n_val	n_test	n_full	gt_in_prompt	errorprobe_step@1_val	errorprobe_step@1_test	errorprobe_step@1_full	errorprobe_agent@1_val	errorprobe_agent@1_test	errorprobe_agent@1_full	errorprobe_bt_step@1_val	errorprobe_bt_step@1_test	errorprobe_bt_step@1_full	errorprobe_bt_agent@1_val	errorprobe_bt_agent@1_test	errorprobe_bt_agent@1_full	errorprobe_paper_step@1_val	errorprobe_paper_step@1_test	errorprobe_paper_step@1_full	errorprobe_paper_agent@1_val	errorprobe_paper_agent@1_test	errorprobe_paper_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
qwen3.5-9b	code	26.0	64.0	127.0	1.0	0.11346153846153846	0.1	0.09448818897637797	0.7038461538461538	0.678125	0.6771653543307088	0.07115384615384616	0.0765625	0.07086614173228348	0.4	0.40390625	0.3937007874015749	0.14230769230769233	0.084375	0.09448818897637797	0.6653846153846154	0.66640625	0.6535433070866142	0.1046875	0.6890625	0.09448818897637797	0.6771653543307088
deepseek-8b	code	26.0	64.0	127.0	1.0	0.044230769230769226	0.0375	0.03937007874015749	0.5211538461538461	0.48046875	0.48031496062992113	0.03076923076923077	0.04140625	0.03937007874015749	0.16153846153846158	0.1484375	0.15748031496062995	0.08461538461538462	0.053125	0.06299212598425194	0.5211538461538462	0.51328125	0.5039370078740155	0.05625	0.52109375	0.06299212598425194	0.5039370078740155
