seed	n_val	n_test	n_full	gt_in_prompt	stepfinder-tsel.s42_step@1_val	stepfinder-tsel.s42_step@1_test	stepfinder-tsel.s42_step@1_full	stepfinder-tsel.s42_agent@1_val	stepfinder-tsel.s42_agent@1_test	stepfinder-tsel.s42_agent@1_full	stepfinder-tsel.s43_step@1_val	stepfinder-tsel.s43_step@1_test	stepfinder-tsel.s43_step@1_full	stepfinder-tsel.s43_agent@1_val	stepfinder-tsel.s43_agent@1_test	stepfinder-tsel.s43_agent@1_full	stepfinder-tsel.s44_step@1_val	stepfinder-tsel.s44_step@1_test	stepfinder-tsel.s44_step@1_full	stepfinder-tsel.s44_agent@1_val	stepfinder-tsel.s44_agent@1_test	stepfinder-tsel.s44_agent@1_full	stepfinder-tsel.s45_step@1_val	stepfinder-tsel.s45_step@1_test	stepfinder-tsel.s45_step@1_full	stepfinder-tsel.s45_agent@1_val	stepfinder-tsel.s45_agent@1_test	stepfinder-tsel.s45_agent@1_full	stepfinder-tsel.s46_step@1_val	stepfinder-tsel.s46_step@1_test	stepfinder-tsel.s46_step@1_full	stepfinder-tsel.s46_agent@1_val	stepfinder-tsel.s46_agent@1_test	stepfinder-tsel.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	18	46	91	False	0.1111111111111111	0.021739130434782608	0.04395604395604396	0.5555555555555556	0.6739130434782609	0.6043956043956044	0.16666666666666666	0.0	0.054945054945054944	0.5555555555555556	0.6086956521739131	0.6373626373626373	0.1111111111111111	0.0	0.02197802197802198	0.5	0.6086956521739131	0.6263736263736264	0.2222222222222222	0.06521739130434782	0.0989010989010989	0.6666666666666666	0.8478260869565217	0.7802197802197802	0.2222222222222222	0.043478260869565216	0.06593406593406594	0.6111111111111112	0.6086956521739131	0.5934065934065934	0.06521739130434782	0.8478260869565217	0.0989010989010989	0.7802197802197802
2	18	46	91	False	0.0	0.043478260869565216	0.04395604395604396	0.6666666666666666	0.5869565217391305	0.6043956043956044	0.05555555555555555	0.043478260869565216	0.054945054945054944	0.6111111111111112	0.6739130434782609	0.6373626373626373	0.0	0.0	0.02197802197802198	0.7222222222222222	0.6304347826086957	0.6263736263736264	0.1111111111111111	0.08695652173913043	0.0989010989010989	0.8333333333333334	0.782608695652174	0.7802197802197802	0.05555555555555555	0.06521739130434782	0.06593406593406594	0.6666666666666666	0.6304347826086957	0.5934065934065934	0.08695652173913043	0.782608695652174	0.0989010989010989	0.7802197802197802
3	18	46	91	False	0.0	0.043478260869565216	0.04395604395604396	0.5555555555555556	0.6086956521739131	0.6043956043956044	0.05555555555555555	0.043478260869565216	0.054945054945054944	0.5555555555555556	0.5869565217391305	0.6373626373626373	0.05555555555555555	0.021739130434782608	0.02197802197802198	0.6111111111111112	0.5434782608695652	0.6263736263736264	0.05555555555555555	0.10869565217391304	0.0989010989010989	0.7222222222222222	0.782608695652174	0.7802197802197802	0.1111111111111111	0.021739130434782608	0.06593406593406594	0.6111111111111112	0.5434782608695652	0.5934065934065934	0.10869565217391304	0.782608695652174	0.0989010989010989	0.7802197802197802
4	18	46	91	False	0.05555555555555555	0.06521739130434782	0.04395604395604396	0.6666666666666666	0.5652173913043478	0.6043956043956044	0.05555555555555555	0.08695652173913043	0.054945054945054944	0.6111111111111112	0.6304347826086957	0.6373626373626373	0.0	0.021739130434782608	0.02197802197802198	0.6111111111111112	0.5652173913043478	0.6263736263736264	0.1111111111111111	0.10869565217391304	0.0989010989010989	0.8333333333333334	0.782608695652174	0.7802197802197802	0.05555555555555555	0.043478260869565216	0.06593406593406594	0.6111111111111112	0.6086956521739131	0.5934065934065934	0.10869565217391304	0.782608695652174	0.0989010989010989	0.7802197802197802
5	18	46	91	False	0.16666666666666666	0.0	0.04395604395604396	0.5555555555555556	0.6521739130434783	0.6043956043956044	0.1111111111111111	0.0	0.054945054945054944	0.4444444444444444	0.7608695652173914	0.6373626373626373	0.1111111111111111	0.0	0.02197802197802198	0.5	0.7391304347826086	0.6263736263736264	0.2222222222222222	0.021739130434782608	0.0989010989010989	0.6111111111111112	0.8260869565217391	0.7802197802197802	0.16666666666666666	0.021739130434782608	0.06593406593406594	0.4444444444444444	0.6739130434782609	0.5934065934065934	0.021739130434782608	0.8260869565217391	0.0989010989010989	0.7802197802197802
6	18	46	91	False	0.05555555555555555	0.043478260869565216	0.04395604395604396	0.7777777777777778	0.5652173913043478	0.6043956043956044	0.1111111111111111	0.021739130434782608	0.054945054945054944	0.6666666666666666	0.6521739130434783	0.6373626373626373	0.0	0.021739130434782608	0.02197802197802198	0.6111111111111112	0.6956521739130435	0.6263736263736264	0.2222222222222222	0.021739130434782608	0.0989010989010989	0.7777777777777778	0.8260869565217391	0.7802197802197802	0.1111111111111111	0.043478260869565216	0.06593406593406594	0.7222222222222222	0.5869565217391305	0.5934065934065934	0.043478260869565216	0.8260869565217391	0.0989010989010989	0.7802197802197802
7	18	46	91	False	0.05555555555555555	0.06521739130434782	0.04395604395604396	0.4444444444444444	0.6086956521739131	0.6043956043956044	0.05555555555555555	0.06521739130434782	0.054945054945054944	0.5555555555555556	0.6521739130434783	0.6373626373626373	0.05555555555555555	0.021739130434782608	0.02197802197802198	0.6111111111111112	0.5869565217391305	0.6263736263736264	0.1111111111111111	0.10869565217391304	0.0989010989010989	0.7777777777777778	0.717391304347826	0.7802197802197802	0.05555555555555555	0.06521739130434782	0.06593406593406594	0.4444444444444444	0.5434782608695652	0.5934065934065934	0.10869565217391304	0.717391304347826	0.0989010989010989	0.7802197802197802
8	18	46	91	False	0.0	0.08695652173913043	0.04395604395604396	0.6111111111111112	0.5869565217391305	0.6043956043956044	0.05555555555555555	0.08695652173913043	0.054945054945054944	0.7222222222222222	0.6086956521739131	0.6373626373626373	0.0	0.021739130434782608	0.02197802197802198	0.5	0.6304347826086957	0.6263736263736264	0.1111111111111111	0.15217391304347827	0.0989010989010989	0.7222222222222222	0.8260869565217391	0.7802197802197802	0.05555555555555555	0.08695652173913043	0.06593406593406594	0.5555555555555556	0.5652173913043478	0.5934065934065934	0.15217391304347827	0.8260869565217391	0.0989010989010989	0.7802197802197802
9	18	46	91	False	0.05555555555555555	0.06521739130434782	0.04395604395604396	0.7222222222222222	0.5	0.6043956043956044	0.05555555555555555	0.08695652173913043	0.054945054945054944	0.7777777777777778	0.6521739130434783	0.6373626373626373	0.0	0.021739130434782608	0.02197802197802198	0.7777777777777778	0.6086956521739131	0.6263736263736264	0.05555555555555555	0.17391304347826086	0.0989010989010989	0.8888888888888888	0.7391304347826086	0.7802197802197802	0.05555555555555555	0.06521739130434782	0.06593406593406594	0.6666666666666666	0.5217391304347826	0.5934065934065934	0.17391304347826086	0.7391304347826086	0.0989010989010989	0.7802197802197802
10	18	46	91	False	0.05555555555555555	0.043478260869565216	0.04395604395604396	0.5555555555555556	0.5869565217391305	0.6043956043956044	0.16666666666666666	0.021739130434782608	0.054945054945054944	0.8333333333333334	0.5434782608695652	0.6373626373626373	0.0	0.043478260869565216	0.02197802197802198	0.6666666666666666	0.6304347826086957	0.6263736263736264	0.16666666666666666	0.10869565217391304	0.0989010989010989	0.8888888888888888	0.7391304347826086	0.7802197802197802	0.05555555555555555	0.06521739130434782	0.06593406593406594	0.6111111111111112	0.5434782608695652	0.5934065934065934	0.10869565217391304	0.7391304347826086	0.0989010989010989	0.7802197802197802
11	18	46	91	False	0.0	0.06521739130434782	0.04395604395604396	0.6111111111111112	0.5652173913043478	0.6043956043956044	0.0	0.06521739130434782	0.054945054945054944	0.5555555555555556	0.6086956521739131	0.6373626373626373	0.0	0.021739130434782608	0.02197802197802198	0.7222222222222222	0.5869565217391305	0.6263736263736264	0.16666666666666666	0.08695652173913043	0.0989010989010989	0.7777777777777778	0.7608695652173914	0.7802197802197802	0.05555555555555555	0.10869565217391304	0.06593406593406594	0.5	0.6086956521739131	0.5934065934065934	0.10869565217391304	0.7608695652173914	0.0989010989010989	0.7802197802197802
12	18	46	91	False	0.1111111111111111	0.021739130434782608	0.04395604395604396	0.5555555555555556	0.6086956521739131	0.6043956043956044	0.16666666666666666	0.021739130434782608	0.054945054945054944	0.5555555555555556	0.6304347826086957	0.6373626373626373	0.0	0.021739130434782608	0.02197802197802198	0.6111111111111112	0.6304347826086957	0.6263736263736264	0.1111111111111111	0.10869565217391304	0.0989010989010989	0.7777777777777778	0.7608695652173914	0.7802197802197802	0.0	0.08695652173913043	0.06593406593406594	0.3333333333333333	0.6521739130434783	0.5934065934065934	0.10869565217391304	0.7608695652173914	0.0989010989010989	0.7802197802197802
13	18	46	91	False	0.05555555555555555	0.043478260869565216	0.04395604395604396	0.6111111111111112	0.5869565217391305	0.6043956043956044	0.1111111111111111	0.043478260869565216	0.054945054945054944	0.7222222222222222	0.5869565217391305	0.6373626373626373	0.0	0.043478260869565216	0.02197802197802198	0.6111111111111112	0.5869565217391305	0.6263736263736264	0.16666666666666666	0.08695652173913043	0.0989010989010989	0.8333333333333334	0.8043478260869565	0.7802197802197802	0.0	0.10869565217391304	0.06593406593406594	0.6666666666666666	0.6086956521739131	0.5934065934065934	0.10869565217391304	0.8043478260869565	0.0989010989010989	0.7802197802197802
14	18	46	91	False	0.0	0.043478260869565216	0.04395604395604396	0.5	0.6086956521739131	0.6043956043956044	0.05555555555555555	0.043478260869565216	0.054945054945054944	0.5555555555555556	0.6739130434782609	0.6373626373626373	0.0	0.043478260869565216	0.02197802197802198	0.4444444444444444	0.6521739130434783	0.6263736263736264	0.1111111111111111	0.08695652173913043	0.0989010989010989	0.7777777777777778	0.8043478260869565	0.7802197802197802	0.1111111111111111	0.043478260869565216	0.06593406593406594	0.5555555555555556	0.5869565217391305	0.5934065934065934	0.08695652173913043	0.8043478260869565	0.0989010989010989	0.7802197802197802
15	18	46	91	False	0.05555555555555555	0.043478260869565216	0.04395604395604396	0.5555555555555556	0.5869565217391305	0.6043956043956044	0.1111111111111111	0.06521739130434782	0.054945054945054944	0.8333333333333334	0.5869565217391305	0.6373626373626373	0.0	0.043478260869565216	0.02197802197802198	0.6111111111111112	0.6304347826086957	0.6263736263736264	0.05555555555555555	0.10869565217391304	0.0989010989010989	0.7222222222222222	0.7608695652173914	0.7802197802197802	0.0	0.13043478260869565	0.06593406593406594	0.5	0.6521739130434783	0.5934065934065934	0.13043478260869565	0.7608695652173914	0.0989010989010989	0.7802197802197802
