subset	model	method	topk_detection_precision	topk_detection_recall	topk_detection_f1	topk_detection_hit_rate	conformal_detection_precision	conformal_detection_recall	conformal_detection_f1	conformal_detection_hit_rate	acc@1	acc@2	acc@3	mrr@3	tol_acc@1	tol_acc@2	tol_acc@3	tol_acc@4	tol_acc@5	auroc	auprc	n
code	deepseek-8b	oat.s42	0.0577	0.1654	0.0853	0.1654	0.0615	0.1575	0.0827	0.1575	0.0630	0.1102	0.1654	0.1050	0.2205	0.4409	0.5433	0.6299	0.6850	0.4138	0.0454	127
code	deepseek-8b	oat.s43	0.0551	0.1575	0.0814	0.1575	0.0564	0.1417	0.0744	0.1417	0.0472	0.1102	0.1575	0.0945	0.2126	0.4488	0.5276	0.6220	0.6614	0.3995	0.0444	127
code	deepseek-8b	oat.s44	0.0577	0.1654	0.0853	0.1654	0.0584	0.1417	0.0769	0.1417	0.0551	0.1024	0.1654	0.0997	0.1811	0.4094	0.5039	0.5906	0.6378	0.3940	0.0434	127
code	deepseek-8b	oat.s45	0.0577	0.1654	0.0853	0.1654	0.0475	0.1181	0.0643	0.1181	0.0472	0.1181	0.1654	0.0984	0.1969	0.4409	0.5276	0.6220	0.6614	0.4154	0.0448	127
code	deepseek-8b	oat.s46	0.0551	0.1575	0.0814	0.1575	0.0666	0.1732	0.0894	0.1732	0.0551	0.1260	0.1575	0.1010	0.2047	0.4567	0.5512	0.6378	0.6850	0.4117	0.0461	127
code	deepseek-8b	stepfinder-alg.s42	0.0446	0.1260	0.0656	0.1260					0.0157	0.0709	0.1260	0.0617	0.1102	0.1654	0.2598	0.4252	0.5512	0.5310	0.0559	127
code	deepseek-8b	stepfinder-alg.s43	0.0446	0.1260	0.0656	0.1260					0.0157	0.0472	0.1260	0.0577	0.0866	0.1496	0.1969	0.4173	0.5433	0.5372	0.0568	127
code	deepseek-8b	stepfinder-alg.s44	0.0289	0.0787	0.0420	0.0787					0.0236	0.0630	0.0787	0.0486	0.1102	0.1732	0.2362	0.4094	0.5197	0.4656	0.0456	127
code	deepseek-8b	stepfinder-alg.s45	0.0289	0.0787	0.0420	0.0787					0.0157	0.0551	0.0787	0.0433	0.0945	0.1496	0.2126	0.4252	0.5591	0.6083	0.0701	127
code	deepseek-8b	stepfinder-alg.s46	0.0892	0.2598	0.1325	0.2598					0.0630	0.1181	0.2598	0.1378	0.4409	0.5276	0.6378	0.7008	0.7402	0.6672	0.0784	127
code	deepseek-8b	stepfinder.s42	0.0735	0.2126	0.1089	0.2126					0.0394	0.1260	0.2126	0.1115	0.1969	0.3228	0.4331	0.6220	0.6772	0.7285	0.1067	127
code	deepseek-8b	stepfinder.s43	0.0735	0.2126	0.1089	0.2126					0.0315	0.0709	0.2126	0.0984	0.2126	0.3543	0.4094	0.4488	0.5118	0.6877	0.0929	127
code	deepseek-8b	stepfinder.s44	0.1444	0.4252	0.2152	0.4252					0.1654	0.3150	0.4252	0.2769	0.4094	0.5276	0.6299	0.6929	0.7323	0.7724	0.1616	127
code	deepseek-8b	stepfinder.s45	0.1260	0.3701	0.1877	0.3701					0.1181	0.2047	0.3701	0.2165	0.3858	0.5748	0.6693	0.7323	0.7874	0.7720	0.1459	127
code	deepseek-8b	stepfinder.s46	0.1181	0.3465	0.1759	0.3465					0.1102	0.2598	0.3465	0.2139	0.3307	0.4016	0.5827	0.7008	0.7795	0.7863	0.1393	127
code	qwen3-14b	oat.s42	0.0499	0.1417	0.0735	0.1417	0.0529	0.1575	0.0739	0.1575	0.0551	0.1260	0.1417	0.0958	0.1969	0.4409	0.5591	0.6535	0.7008	0.3642	0.0406	127
code	qwen3-14b	oat.s43	0.0525	0.1496	0.0774	0.1496	0.0557	0.1260	0.0721	0.1260	0.0472	0.1181	0.1496	0.0932	0.1969	0.4488	0.5512	0.6457	0.6850	0.3556	0.0434	127
code	qwen3-14b	oat.s44	0.0525	0.1496	0.0774	0.1496	0.0501	0.1339	0.0686	0.1339	0.0472	0.1102	0.1496	0.0919	0.2047	0.4567	0.5669	0.6614	0.6929	0.3628	0.0402	127
code	qwen3-14b	oat.s45	0.0525	0.1496	0.0774	0.1496	0.0437	0.1102	0.0587	0.1102	0.0472	0.1260	0.1496	0.0945	0.2047	0.4646	0.5512	0.6535	0.6929	0.3593	0.0408	127
code	qwen3-14b	oat.s46	0.0472	0.1339	0.0696	0.1339	0.0472	0.1260	0.0645	0.1260	0.0472	0.1260	0.1339	0.0892	0.1654	0.4173	0.5118	0.5984	0.6535	0.3493	0.0391	127
code	qwen3-14b	stepfinder-alg.s42	0.0420	0.1181	0.0617	0.1181					0.0315	0.0787	0.1181	0.0682	0.0709	0.1969	0.2835	0.3307	0.4961	0.5302	0.0544	127
code	qwen3-14b	stepfinder-alg.s43	0.0289	0.0787	0.0420	0.0787					0.0236	0.0472	0.0787	0.0459	0.0866	0.1654	0.1969	0.2205	0.4409	0.5116	0.0550	127
code	qwen3-14b	stepfinder-alg.s44	0.0551	0.1575	0.0814	0.1575					0.0551	0.1102	0.1575	0.0984	0.1654	0.2677	0.5118	0.5827	0.6772	0.5279	0.0563	127
code	qwen3-14b	stepfinder-alg.s45	0.0367	0.1024	0.0538	0.1024					0.0236	0.0630	0.1024	0.0564	0.1575	0.3386	0.4488	0.5118	0.6299	0.6089	0.0701	127
code	qwen3-14b	stepfinder-alg.s46	0.1417	0.4173	0.2113	0.4173					0.1654	0.3228	0.4173	0.2756	0.3780	0.5354	0.6378	0.6772	0.7559	0.7449	0.1405	127
code	qwen3-14b	stepfinder.s42	0.0919	0.2677	0.1365	0.2677					0.0551	0.2205	0.2677	0.1535	0.1181	0.2126	0.2520	0.3150	0.5197	0.6558	0.0980	127
code	qwen3-14b	stepfinder.s43	0.0499	0.1417	0.0735	0.1417					0.0079	0.0709	0.1417	0.0630	0.1417	0.1890	0.3465	0.4094	0.5748	0.5878	0.0653	127
code	qwen3-14b	stepfinder.s44	0.1496	0.4409	0.2231	0.4409					0.1732	0.3622	0.4409	0.2940	0.2756	0.4252	0.6220	0.6772	0.7323	0.7135	0.1465	127
code	qwen3-14b	stepfinder.s45	0.1102	0.3228	0.1640	0.3228					0.0945	0.1969	0.3228	0.1877	0.1654	0.3465	0.4567	0.5197	0.6063	0.6734	0.0881	127
code	qwen3-14b	stepfinder.s46	0.0525	0.1496	0.0774	0.1496					0.0394	0.1102	0.1496	0.0879	0.1024	0.2362	0.2520	0.3307	0.5512	0.6538	0.0739	127
code	qwen3-embedding-0.6b	stepfinder-alg.s42	0.0656	0.1890	0.0971	0.1890					0.0787	0.1496	0.1890	0.1273	0.1890	0.2126	0.3543	0.4646	0.5512	0.5871	0.0614	127
code	qwen3-embedding-0.6b	stepfinder-alg.s43	0.0735	0.2126	0.1089	0.2126					0.0945	0.1654	0.2126	0.1457	0.3071	0.3937	0.5354	0.6063	0.6693	0.6369	0.0727	127
code	qwen3-embedding-0.6b	stepfinder-alg.s44	0.0525	0.1496	0.0774	0.1496					0.0394	0.1102	0.1496	0.0879	0.1811	0.2520	0.4331	0.4961	0.5984	0.5851	0.0612	127
code	qwen3-embedding-0.6b	stepfinder-alg.s45	0.0814	0.2362	0.1207	0.2362					0.0945	0.1575	0.2362	0.1522	0.2756	0.3780	0.5039	0.5591	0.6457	0.6161	0.0703	127
